realisateur,moyenne_fr_realisateur,cluster_realisateur
Alexandre Arcady,718027.0,0
Alexandre Aja,330919.0,0
Alexander Payne,376268.0,0
Wes Anderson,465926.0,0
Wes Craven,548402.0,0
William Friedkin,723304.0,0
Win Wenders,351921.0,0
Wolfgang Petersen,1060089.0,0
Wong Kar-Wai,237851.0,0
Woody Allen,915808.0,0
Xavier Beauvois,620543.0,0
Xavier Dolan,400805.0,0
Zabou Breitman,451108.0,0
Yvan Attal,480969.0,0
Alejandro González Iñárritu,813810.0,0
Alfonso Cuaron,2011476.0,1
Zack Snyder,1317200.0,1
Sylvester Stallone,1775718.0,1
Thomas Gilou,2448000.0,1
Tim Burton,1802759.0,1
Todd Phillips,1486058.0,1
Patty Jenkins,1245066.0,1
Mike Newell,1706499.0,1
Nicolas Vanier,1222093.0,1
Michael Bay,1821967.0,1
Michel Blanc,2079198.0,1
Michel Hazanavicius,1223420.888888889,1
Louis Leterrier,1353727.0,1
M. Night Shyamalan,1773326.0,1
Philippe De Broca,1385564.0,1
Olivier Baroux,1704970.0,1
Olivier Dahan,1580194.0,1
Olivier Megaton,1549197.0,1
Martin Campbell,1519957.0,1
Matt Reeves,2133589.0,1
Joss Whedon,2232456.0,1
Justin Lin,1810597.0,1
Keenen Ivory Wayans,1652914.0,1
Laurent Tirard,1753323.0,1
Jon Favreau,2453685.0,1
Jonathan Mostow,1259329.0,1
Jean-Paul Rappeneau,2231829.0,1
Jean-Pierre Jeunet,2577412.0,1
Jerry Zucker,2211642.0,1
Ridley Scott,1224009.0,1
Rob Marshall,1503474.0,1
Rob Minkoff,2286635.0,1
Peter Jackson,2102849.0,1
James Huth,1508160.0,1
James Wan,1299940.0,1
Jan De Bont,1672178.0,1
Jean Becker,1490407.0,1
Jean-Jacques Annaud,2227842.0,1
Jean-Jacques Beineix,1296543.0,1
Gérard Krawczyk,2573794.0,1
Gérard Pires,1936532.0,1
Isabelle Mergault,1635196.0,1
Jacques Tati,2713946.0,1
James Gunn,1647357.0,1
Roland Emmerich,1768802.0,1
Ryan Coogler,2275585.0,1
Sam Mendes,2212196.0,1
Sam Raimi,1653005.0,1
Pierre-François Martin-Laval,1260628.0,1
Quentin Tarantino,1829073.0,1
Rian Johnson,1829232.0,1
Gareth Edwards,1814258.0,1
George Miller,1396603.0,1
Gore Verbinski,1987433.0,1
Guillaume Canet,2282451.0,1
Edouard Molinaro,1455780.0,1
Eric Lartigau,2036530.0,1
Etienne Chatiliez,2319219.0,1
Fabien Onteniente,1599581.0,1
Francis Lawrence,2087567.0,1
David Fincher,1843217.0,1
Stanley Kubrick,1794743.0,1
Stephen Sommers,1248756.0,1
Steven Spielberg,2541723.0,1
Robert Zemeckis,1601292.0,1
Denis Villeneuve,1294036.0,1
Barry Sonnenfeld,1862097.0,1
Baz Luhrmann,1223190.0,1
Bill Condon,1381693.0,1
Claude Sautet,1709320.0,1
Coline Serreau,1672203.0,1
Cédric Jimenez,1288078.0,1
Damien Chazelle,1424666.0,1
Bryan Singer,1865474.0,1
Chris Columbus,2130394.0,1
Chris Wedge,1373839.0,1
Chris Weitz,1735679.0,1
Christophe Barratier,1596072.0,1
Shane Black,1368193.0,1
Christophe Gans,2112436.0,1
Christopher McQuarrie,1989694.0,1
Claude Berri,1974557.0,1
Agnès Jaoui,1867528.0,1
Alain Berberian,1383893.0,1
Wachowski (brothers),2059332.0,1
Christopher Nolan,2096500.0,1
Yves Robert,2424062.0,1
