Titre,Démarrage,Entrées totales,Réalisateur,moyenne_fr_realisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre_vo,annee,entrees,salles,moy_salle,part_marche,affiche,acteurs,moyennes_individuelles_acteurs,max_moyenne,moyennebestactors
embrassez qui vous voudrez,480951.0,1528784,Michel Blanc,2079198.0,France,Comédie,2002-10-09,Tous publics,UFD,0,6,3.0,"Jacques Dutronc, Charlotte Rampling","Michel Blanc, Carole Bouquet, Mélanie Laurent, Denis Podalydès, Vincent Elbaz, Karin Viard",1765,555.0,916,Embrassez qui vous voudrez,2002,480951,408,1179,31  %,cinema/images/posters/embrassezquivoudrez.jpg,"[{'id': '681', 'name': 'Jacques Dutronc', 'role': 'Rôle principal', 'character': 'Bertrand Lannier'}, {'id': '929', 'name': 'Charlotte Rampling', 'role': 'Rôle principal', 'character': ''}, {'id': '242', 'name': 'Michel Blanc', 'role': 'Second rôle', 'character': 'Jean-Pierre'}, {'id': '520', 'name': 'Carole Bouquet', 'role': 'Second rôle', 'character': 'Lulu'}, {'id': '629', 'name': 'Mélanie Laurent', 'role': 'Second rôle', 'character': 'Carole'}, {'id': '818', 'name': 'Denis Podalydès', 'role': 'Second rôle', 'character': ''}, {'id': '351', 'name': 'Vincent Elbaz', 'role': 'Second rôle', 'character': 'Maxime'}, {'id': '230', 'name': 'Karin Viard', 'role': 'Second rôle', 'character': ''}, {'id': '917', 'name': 'Gaspard Ulliel', 'role': 'Apparition', 'character': 'Loïc'}]","[{'name': 'Jacques Dutronc', 'moyenne': 642514}, {'name': 'Charlotte Rampling', 'moyenne': 592823}, {'name': 'Michel Blanc', 'moyenne': 1188006}, {'name': 'Carole Bouquet', 'moyenne': 569013}, {'name': 'Mélanie Laurent', 'moyenne': 737378}, {'name': 'Denis Podalydès', 'moyenne': 489900}, {'name': 'Vincent Elbaz', 'moyenne': 647227}, {'name': 'Karin Viard', 'moyenne': 684402}, {'name': 'Gaspard Ulliel', 'moyenne': 686245}]",1188006.0,870543.0
shang-chi et la légende des dix anneaux,481173.0,1412388,,,Etats-Unis,Comicbook,2021-09-01,Tous publics,Walt Disney Pictures,2,7,1.0,,,19588,,915,,2021,481173,519,927,34  %,cinema/images/posters/19588-20210828114742-0.jpg,,,,
pierre lapin 2 : panique en ville,482349.0,886316,,,Etats-Unis,Film familial,2021-06-30,Tous publics,Sony Pictures,0,5,2.0,Rose Byrne,,19753,,912,,2021,482349,612,788,54  %,cinema/images/posters/19753-20200215073227-0.jpg,"[{'id': '854', 'name': 'Rose Byrne', 'role': 'Rôle principal', 'character': 'Bea'}, {'id': '1013', 'name': 'Margot Robbie', 'role': 'Voix-off', 'character': 'Flopsaut'}]","[{'name': 'Rose Byrne', 'moyenne': 874493}, {'name': 'Margot Robbie', 'moyenne': 1286424}]",1286424.0,1080458.5
buzz l'éclair,482715.0,1547047,,,Etats-Unis,Animation,2022-06-22,Tous publics,Walt Disney Pictures,1,9,1.0,,,21456,,911,,2022,482715,641,753,31  %,cinema/images/posters/21456-20220618112947-0.jpg,"[{'id': '828', 'name': 'Chris Evans', 'role': 'Voix-off', 'character': 'Buzz Lightyear'}]","[{'name': 'Chris Evans', 'moyenne': 1737423}]",1737423.0,1737423.0
oliver twist,482752.0,1513871,Roman Polanski,916637.0,France,Drame,2005-10-19,Tous publics,Pathé,0,4,3.0,,,724,405.0,910,Oliver Twist,2005,482752,549,879,32  %,cinema/images/posters/olivertwist.jpg,,,,
bac nord,483381.0,2218308,Cédric Jimenez,1288078.0,France,Thriller,2021-08-18,Tous publics,Studiocanal,2,10,1.0,"François Civil, Karim Leklou, Gilles Lellouche",Adèle Exarchopoulos,20759,1035.0,909,Bac Nord (The Stronghold),2021,483381,585,826,22  %,cinema/images/posters/20759-20210813062703-0.jpg,"[{'id': '1041', 'name': 'François Civil', 'role': 'Rôle principal', 'character': 'Antoine'}, {'id': '1043', 'name': 'Karim Leklou', 'role': 'Rôle principal', 'character': 'Yass'}, {'id': '701', 'name': 'Gilles Lellouche', 'role': 'Rôle principal', 'character': 'Greg'}, {'id': '1026', 'name': 'Adèle Exarchopoulos', 'role': 'Second rôle', 'character': 'Nora'}]","[{'name': 'François Civil', 'moyenne': 1063617}, {'name': 'Karim Leklou', 'moyenne': 261790}, {'name': 'Gilles Lellouche', 'moyenne': 898194}, {'name': 'Adèle Exarchopoulos', 'moyenne': 638867}]",1063617.0,866892.6666666666
le dernier loup,483683.0,1282413,Jean-Jacques Annaud,2227842.0,France,Aventure - Action,2015-02-25,Tous publics,Mars Distribution,0,6,3.0,,,13767,23.0,908,Wolf totem,2015,483683,383,1263,38  %,cinema/images/posters/13767-20150207041915-0.jpg,,,,
le jour où la terre s'arrêta (2008),484204.0,1150671,,,Etats-Unis,Science Fiction,2008-12-10,Tous publics,20th Century Fox,0,5,2.0,"Jennifer Connelly, Keanu Reeves",,10003,,907,,2008,484204,606,799,42  %,cinema/images/posters/np_10003.jpg,"[{'id': '870', 'name': 'Jennifer Connelly', 'role': 'Rôle principal', 'character': 'Helen Benson'}, {'id': '225', 'name': 'Keanu Reeves', 'role': 'Rôle principal', 'character': 'Klaatu'}]","[{'name': 'Jennifer Connelly', 'moyenne': 731433}, {'name': 'Keanu Reeves', 'moyenne': 878836}]",878836.0,805134.5
the social network,484432.0,1494682,David Fincher,1843217.0,Etats-Unis,Comédie dramatique,2010-10-13,Tous publics,Sony Pictures,0,6,2.0,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake",Rooney Mara,11149,106.0,906,The Social Network,2010,484432,342,1416,32  %,cinema/images/posters/11149-20101007081033.PNG,"[{'id': '787', 'name': 'Jesse Eisenberg', 'role': 'Rôle principal', 'character': 'Mark Zuckerberg'}, {'id': '898', 'name': 'Andrew Garfield', 'role': 'Rôle principal', 'character': 'Eduardo Saverin'}, {'id': '945', 'name': 'Justin Timberlake', 'role': 'Rôle principal', 'character': 'Sean Parker'}, {'id': '956', 'name': 'Rooney Mara', 'role': 'Second rôle', 'character': 'Erica'}]","[{'name': 'Jesse Eisenberg', 'moyenne': 792156}, {'name': 'Andrew Garfield', 'moyenne': 1197757}, {'name': 'Justin Timberlake', 'moyenne': 497985}, {'name': 'Rooney Mara', 'moyenne': 449892}]",1197757.0,829299.3333333334
la vie scolaire,485386.0,1812113,,,France,Comédie dramatique,2019-08-28,Tous publics,Gaumont,2,9,1.0,,Alban Ivanov,19578,,905,,2019,485386,375,1294,27  %,cinema/images/posters/19578-20190815020445-0.jpg,"[{'id': '1024', 'name': 'Alban Ivanov', 'role': 'Second rôle', 'character': 'Dylan'}]","[{'name': 'Alban Ivanov', 'moyenne': 748878}]",748878.0,748878.0
american gangster,485455.0,1219831,Ridley Scott,1224009.0,Etats-Unis,Thriller,2007-11-14,Tous publics,Paramount,1,4,1.0,"Denzel Washington, Russell Crowe","Josh Brolin, Cuba Gooding Jr.",211,309.0,904,American Gangster,2007,485455,379,1281,40  %,cinema/images/posters/p_5356.jpg,"[{'id': '114', 'name': 'Denzel Washington', 'role': 'Rôle principal', 'character': 'Frank Lucas'}, {'id': '293', 'name': 'Russell Crowe', 'role': 'Rôle principal', 'character': 'inspecteur Richie Roberts'}, {'id': '705', 'name': 'Josh Brolin', 'role': 'Second rôle', 'character': 'Inspecteur Trupo'}, {'id': '80', 'name': 'Cuba Gooding Jr.', 'role': 'Second rôle', 'character': 'Nicky Barnes'}, {'id': '908', 'name': 'Idris Elba', 'role': 'Apparition', 'character': 'Tango'}]","[{'name': 'Denzel Washington', 'moyenne': 568910}, {'name': 'Russell Crowe', 'moyenne': 745619}, {'name': 'Josh Brolin', 'moyenne': 980209}, {'name': 'Cuba Gooding Jr.', 'moyenne': 624628}, {'name': 'Idris Elba', 'moyenne': 1031062}]",1031062.0,918963.3333333334
