Titre,Démarrage,Entrées totales,Réalisateur,moyenne_fr_realisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre_vo,annee,entrees,salles,moy_salle,part_marche,affiche,acteurs,moyennes_individuelles_acteurs,max_moyenne,moyennebestactors
ange et gabrielle,254124.0,602645,,,France,Romance,2015-11-11,Tous publics,UGC Distribution,0,5,2.0,"Patrick Bruel, Isabelle Carré",,15490,,1995,,2015,254124,337,754,42  %,cinema/images/posters/15490-20151107070844-0.jpg,"[{'id': '649', 'name': 'Patrick Bruel', 'role': 'Rôle principal', 'character': 'Ange'}, {'id': '390', 'name': 'Isabelle Carré', 'role': 'Rôle principal', 'character': 'Gabrielle'}]","[{'name': 'Patrick Bruel', 'moyenne': 1044151}, {'name': 'Isabelle Carré', 'moyenne': 448235}]",1044151.0,746193.0
riddick,254478.0,512787,David Twohy,286777.0,Etats-Unis,Science Fiction,2013-09-18,Moins de 12 ans,Metropolitan,0,4,2.0,Vin Diesel,,12695,597.0,1994,Riddick,2013,254478,368,692,50  %,cinema/images/posters/12695-20130810060854.jpg,"[{'id': '350', 'name': 'Vin Diesel', 'role': 'Rôle principal', 'character': 'Riddick'}]","[{'name': 'Vin Diesel', 'moyenne': 1382126}]",1382126.0,1382126.0
michael clayton,254575.0,581639,,,Etats-Unis,Thriller,2007-10-17,Tous publics,SND,0,2,3.0,George Clooney,,191,,1993,,2007,254575,301,846,44  %,cinema/images/posters/p_5445.jpg,"[{'id': '86', 'name': 'George Clooney', 'role': 'Rôle principal', 'character': 'Michael Clayton'}]","[{'name': 'George Clooney', 'moyenne': 965655}]",965655.0,965655.0
crazy night,254856.0,461816,Shawn Levy,1145754.0,Etats-Unis,Comédie,2010-05-12,Tous publics,20th Century Fox,0,4,6.0,Steve Carell,"James Franco, Mila Kunis, Ray Liotta, Mark Wahlberg",11112,628.0,1992,Date Night,2010,254856,330,772,55  %,cinema/images/posters/11112-20100419080400.jpg,"[{'id': '315', 'name': 'Steve Carell', 'role': 'Rôle principal', 'character': 'Phil Foster'}, {'id': '714', 'name': 'James Franco', 'role': 'Second rôle', 'character': 'Taste'}, {'id': '939', 'name': 'Mila Kunis', 'role': 'Second rôle', 'character': 'Whippit'}, {'id': '304', 'name': 'Ray Liotta', 'role': 'Second rôle', 'character': ''}, {'id': '269', 'name': 'Mark Wahlberg', 'role': 'Second rôle', 'character': 'Holbrooke'}, {'id': '930', 'name': 'Gal Gadot', 'role': 'Apparition', 'character': 'Myklia'}, {'id': '892', 'name': 'Kristen Wiig', 'role': 'Apparition', 'character': 'Haley Sullivan'}]","[{'name': 'Steve Carell', 'moyenne': 382115}, {'name': 'James Franco', 'moyenne': 813821}, {'name': 'Mila Kunis', 'moyenne': 628630}, {'name': 'Ray Liotta', 'moyenne': 296794}, {'name': 'Mark Wahlberg', 'moyenne': 662645}, {'name': 'Gal Gadot', 'moyenne': 1494217}, {'name': 'Kristen Wiig', 'moyenne': 433762}]",1494217.0,990227.6666666666
normandie nue,254909.0,595461,,,France,Comédie dramatique,2018-01-10,Tous publics,SND,0,4,4.0,François Cluzet,François-Xavier Demaison,17669,,1991,,2018,254909,489,521,43  %,cinema/images/posters/17669-20180105054025-0.jpg,"[{'id': '130', 'name': 'François Cluzet', 'role': 'Rôle principal', 'character': ''}, {'id': '713', 'name': 'François-Xavier Demaison', 'role': 'Second rôle', 'character': ''}]","[{'name': 'François Cluzet', 'moyenne': 936250}, {'name': 'François-Xavier Demaison', 'moyenne': 819033}]",936250.0,877641.5
casse-noisette et les quatre royaumes,254939.0,801791,Lasse Hallstrom,184034.0,Etats-Unis,Aventure - Action,2018-11-28,Tous publics,Walt Disney Pictures,0,5,5.0,Keira Knightley,"Morgan Freeman, Helen Mirren",17773,526.0,1990,The Nutcracker and the Four Realms,2018,254939,478,533,32  %,cinema/images/posters/17773-20180902104626-0.jpg,"[{'id': '224', 'name': 'Keira Knightley', 'role': 'Rôle principal', 'character': 'La Fée Dragée'}, {'id': '253', 'name': 'Morgan Freeman', 'role': 'Second rôle', 'character': 'Drosselmeyer'}, {'id': '851', 'name': 'Helen Mirren', 'role': 'Second rôle', 'character': 'Mother Ginger'}]","[{'name': 'Keira Knightley', 'moyenne': 1170296}, {'name': 'Morgan Freeman', 'moyenne': 1025955}, {'name': 'Helen Mirren', 'moyenne': 579047}]",1170296.0,925099.3333333334
la tour 2 contrôle infernale,255033.0,357801,,,France,Comédie,2016-02-10,Tous publics,Légende Distribution,0,2,7.0,"Ramzy Bedia, Marina Foïs, Eric Judor",,15456,,1989,,2016,255033,592,431,71  %,cinema/images/posters/15456-20160207050539-1.jpg,"[{'id': '550', 'name': 'Ramzy Bedia', 'role': 'Rôle principal', 'character': 'Bachir Bouzouk'}, {'id': '900', 'name': 'Marina Foïs', 'role': 'Rôle principal', 'character': 'La Conseillère du Ministre'}, {'id': '549', 'name': 'Eric Judor', 'role': 'Rôle principal', 'character': 'Ernest Krakenkrick'}]","[{'name': 'Ramzy Bedia', 'moyenne': 980380}, {'name': 'Marina Foïs', 'moyenne': 775272}, {'name': 'Eric Judor', 'moyenne': 1024553}]",1024553.0,926735.0
need for speed,255242.0,464606,,,Etats-Unis,Aventure - Action,2014-04-16,Tous publics,Metropolitan,0,3,6.0,,Michael Keaton,13775,,1988,,2014,255242,402,635,55  %,cinema/images/posters/13775-20140126064222-0.jpg,"[{'id': '258', 'name': 'Michael Keaton', 'role': 'Second rôle', 'character': 'Monarch'}, {'id': '1058', 'name': 'Rami Malek', 'role': 'Second rôle', 'character': 'Finn'}]","[{'name': 'Michael Keaton', 'moyenne': 695972}, {'name': 'Rami Malek', 'moyenne': 1813517}]",1813517.0,1254744.5
elle s'appelait sarah,255461.0,826891,Gilles Paquet-Brenner,403051.0,France,Drame,2010-10-13,Tous publics,UGC Distribution,0,6,5.0,Kristin Scott Thomas,Niels Arestrup,11482,687.0,1986,Elle s'appelait Sarah (Sarah's Key),2010,255461,325,786,31  %,cinema/images/posters/11482-20100802030839.jpg,"[{'id': '229', 'name': 'Kristin Scott Thomas', 'role': 'Rôle principal', 'character': 'Julia Jarmond'}, {'id': '830', 'name': 'Niels Arestrup', 'role': 'Second rôle', 'character': 'Jules Dufaure'}]","[{'name': 'Kristin Scott Thomas', 'moyenne': 744904}, {'name': 'Niels Arestrup', 'moyenne': 559184}]",744904.0,652044.0
tout simplement noir,255537.0,760628,,,France,Comédie,2020-07-08,Tous publics,Gaumont,1,9,1.0,,,20641,,1985,,2020,255537,474,539,34  %,cinema/images/posters/20641-20200704102057-0.jpg,"[{'id': '550', 'name': 'Ramzy Bedia', 'role': 'Apparition', 'character': 'Lui-même'}, {'id': '1048', 'name': 'Jonathan Cohen', 'role': 'Apparition', 'character': 'Lui-même'}, {'id': '937', 'name': 'Fabrice Eboue', 'role': 'Apparition', 'character': 'Lui-même'}, {'id': '549', 'name': 'Eric Judor', 'role': 'Apparition', 'character': 'Lui-même'}, {'id': '598', 'name': 'Mathieu Kassovitz', 'role': 'Apparition', 'character': 'Lui-même'}, {'id': '1025', 'name': 'Jean-Baptiste Lucien', 'role': 'Apparition', 'character': 'Lui-même'}, {'id': '783', 'name': 'Omar Sy', 'role': 'Apparition', 'character': 'Lui-même'}, {'id': '1006', 'name': 'Ahmed Sylla', 'role': 'Apparition', 'character': 'Lui-même'}]","[{'name': 'Ramzy Bedia', 'moyenne': 980380}, {'name': 'Jonathan Cohen', 'moyenne': 694715}, {'name': 'Fabrice Eboue', 'moyenne': 711232}, {'name': 'Eric Judor', 'moyenne': 1024553}, {'name': 'Mathieu Kassovitz', 'moyenne': 1128188}, {'name': 'Jean-Baptiste Lucien', 'moyenne': 348143}, {'name': 'Omar Sy', 'moyenne': 1789989}, {'name': 'Ahmed Sylla', 'moyenne': 381997}]",1789989.0,1314243.3333333333
une petite zone de turbulences,256377.0,540430,,,France,Comédie,2010-01-13,Tous publics,UGC Distribution,0,4,3.0,Michel Blanc,"Gilles Lellouche, Miou-Miou",11103,,1976,,2010,256377,334,768,47  %,cinema/images/posters/11103-20091217101239.jpg,"[{'id': '242', 'name': 'Michel Blanc', 'role': 'Rôle principal', 'character': 'Jean-Pierre'}, {'id': '701', 'name': 'Gilles Lellouche', 'role': 'Second rôle', 'character': 'Philippe'}, {'id': '382', 'name': 'Miou-Miou', 'role': 'Second rôle', 'character': 'Anne'}]","[{'name': 'Michel Blanc', 'moyenne': 1188006}, {'name': 'Gilles Lellouche', 'moyenne': 898194}, {'name': 'Miou-Miou', 'moyenne': 1116189}]",1188006.0,1067463.0
angry birds : copains comme cochons,256867.0,691339,,,Etats-Unis,Animation,2019-10-16,Tous publics,Sony Pictures,0,4,6.0,,,19284,,1969,,2019,256867,480,535,37  %,cinema/images/posters/19284-20190814062522-0.jpg,,,,
sous écrous,257373.0,688264,,,France,Comédie,2024-12-18,Tous publics,Apollo Films,0,5,3.0,,,24253,,1967,,2024,257373,280,919,37  %,cinema/images/posters/A-2024-24253-20241219061440.jpg,,,,
la fille du train,256506.0,479172,,,Etats-Unis,Thriller,2016-10-26,Moins de 12 ans,Metropolitan,0,3,11.0,Emily Blunt,Luke Evans,16206,,1975,,2016,256506,315,814,54  %,cinema/images/posters/16206-20161001065625-3.jpg,"[{'id': '841', 'name': 'Emily Blunt', 'role': 'Rôle principal', 'character': 'Rachel Watson'}, {'id': '1001', 'name': 'Luke Evans', 'role': 'Second rôle', 'character': 'Scott'}]","[{'name': 'Emily Blunt', 'moyenne': 648342}, {'name': 'Luke Evans', 'moyenne': 1513360}]",1513360.0,1080851.0
the suicide squad,256516.0,714782,James Gunn,1647357.0,Etats-Unis,Comicbook,2021-07-28,Tous publics,Warner Bros.,0,7,3.0,"Idris Elba, Margot Robbie",Viola Davis,20864,968.0,1974,The Suicide Squad,2021,256516,478,537,36  %,cinema/images/posters/20864-20210720115535-0.jpg,"[{'id': '908', 'name': 'Idris Elba', 'role': 'Rôle principal', 'character': 'Bloodsport'}, {'id': '1013', 'name': 'Margot Robbie', 'role': 'Rôle principal', 'character': 'Harley Quinn'}, {'id': '1031', 'name': 'Viola Davis', 'role': 'Second rôle', 'character': 'Amanda Waller'}, {'id': '334', 'name': 'Sylvester Stallone', 'role': 'Voix-off', 'character': 'King Shark'}]","[{'name': 'Idris Elba', 'moyenne': 1031062}, {'name': 'Margot Robbie', 'moyenne': 1286424}, {'name': 'Viola Davis', 'moyenne': 823176}, {'name': 'Sylvester Stallone', 'moyenne': 1184352}]",1286424.0,1167279.3333333333
minuscule: les mandibules du bout du monde,257867.0,756332,,,France,Animation,2019-01-30,Tous publics,Le Pacte,0,5,3.0,,,18739,,1965,,2019,257867,544,474,34  %,cinema/images/posters/18739-20190125085713-0.jpg,,,,
10 jours encore sans maman,256753.0,681074,,,France,Comédie,2023-04-12,Tous publics,Studiocanal,0,5,4.0,Franck Dubosc,,22689,,1971,,2023,256753,571,450,38  %,cinema/images/posters/A-2023-22689-20230408064126.jpg,"[{'id': '541', 'name': 'Franck Dubosc', 'role': 'Rôle principal', 'character': 'Antoine'}]","[{'name': 'Franck Dubosc', 'moyenne': 1206610}]",1206610.0,1206610.0
emilia perez,256771.0,1245259,Jacques Audiard,815059.0,France,Drame,2024-08-21,Tous publics,Pathé,0,9,2.0,,,23796,576.0,1970,Emilia Perez,2024,256771,433,593,21  %,cinema/images/posters/A-2024-23796-20240816060430.jpg,,,,
jack mimoun et les secrets de val verde,257163.0,659844,,,France,Aventure - Action,2022-10-12,Tous publics,Pathé,0,5,3.0,"Jérôme Commandeur, François Damiens",Benoît Magimel,22330,,1968,,2022,257163,501,513,39  %,cinema/images/posters/22330-20220911052351-0.jpg,"[{'id': '1033', 'name': 'Jérôme Commandeur', 'role': 'Rôle principal', 'character': 'Bruno Quézac'}, {'id': '918', 'name': 'François Damiens', 'role': 'Rôle principal', 'character': 'Jean-Marc Bastos'}, {'id': '53', 'name': 'Benoît Magimel', 'role': 'Second rôle', 'character': 'Jonas Anatoli'}]","[{'name': 'Jérôme Commandeur', 'moyenne': 2130424}, {'name': 'François Damiens', 'moyenne': 909443}, {'name': 'Benoît Magimel', 'moyenne': 593227}]",2130424.0,1211031.3333333333
billy elliot,257958.0,2535994,Stephen Daldry,768863.0,Grande-Bretagne,Drame,2000-12-20,Tous publics,Mars Distribution,0,15,3.0,,,2411,615.0,1964,Billy Elliot,2000,257958,234,1102,10  %,cinema/images/posters/2411-20120304090330.jpg,,,,
le vent se lève (2014),258144.0,776769,Hayao Miyazaki,707924.0,Japon,Animation,2014-01-22,Tous publics,Walt Disney Pictures,0,5,3.0,,,13722,447.0,1963,Kaze Tachinu (The Wind Rises),2014,258144,216,1195,33  %,cinema/images/posters/13722-20140118070228-0.jpg,"[{'id': '841', 'name': 'Emily Blunt', 'role': 'Voix-off', 'character': ''}, {'id': '786', 'name': 'Joseph Gordon-Levitt', 'role': 'Voix-off', 'character': 'Jirô Horikoshi'}]","[{'name': 'Emily Blunt', 'moyenne': 648342}, {'name': 'Joseph Gordon-Levitt', 'moyenne': 835723}]",835723.0,742032.5
the ryan initiative,258323.0,452685,Kenneth Branagh,666653.0,Etats-Unis,Thriller,2014-01-29,Tous publics,Paramount,0,3,3.0,"Kevin Costner, Chris Pine","Kenneth Branagh, Keira Knightley",13035,531.0,1960,Jack Ryan: Shadow Recruit,2014,258323,397,651,57  %,cinema/images/posters/13035-20131228014159.jpg,"[{'id': '219', 'name': 'Kevin Costner', 'role': 'Rôle principal', 'character': 'William Harper'}, {'id': '820', 'name': 'Chris Pine', 'role': 'Rôle principal', 'character': 'Jack Ryan'}, {'id': '379', 'name': 'Kenneth Branagh', 'role': 'Second rôle', 'character': 'Viktor Cherevin'}, {'id': '224', 'name': 'Keira Knightley', 'role': 'Second rôle', 'character': 'Cathy Ryan'}]","[{'name': 'Kevin Costner', 'moyenne': 1006499}, {'name': 'Chris Pine', 'moyenne': 489195}, {'name': 'Kenneth Branagh', 'moyenne': 1144969}, {'name': 'Keira Knightley', 'moyenne': 1170296}]",1170296.0,1107254.6666666667
le monde secret des emojis,258815.0,742474,,,Etats-Unis,Animation,2017-10-18,Tous publics,Sony Pictures,0,4,6.0,,,17222,,1959,,2017,258815,368,703,35  %,cinema/images/posters/17222-20170728025001-5.jpg,"[{'id': '972', 'name': 'Anna Faris', 'role': 'Voix-off', 'character': 'Rebelde'}]","[{'name': 'Anna Faris', 'moyenne': 853912}]",853912.0,853912.0
esther,259097.0,638919,Jaume Collet-Serra,786006.0,Etats-Unis,Thriller,2009-12-30,Moins de 12 ans,Warner Bros.,0,5,3.0,,,10843,949.0,1958,Orphan,2009,259097,284,912,41  %,cinema/images/posters/10843-20131228020617.jpg,,,,
tu seras mon fils,259225.0,722122,,,France,Drame,2011-08-24,Tous publics,Universal,0,5,5.0,"Niels Arestrup, Lorant Deutsch",,12252,,1957,,2011,259225,302,858,36  %,cinema/images/posters/12252-20110710040729.jpg,"[{'id': '830', 'name': 'Niels Arestrup', 'role': 'Rôle principal', 'character': 'Paul de Marseul'}, {'id': '232', 'name': 'Lorant Deutsch', 'role': 'Rôle principal', 'character': 'Martin de Marseul'}]","[{'name': 'Niels Arestrup', 'moyenne': 559184}, {'name': 'Lorant Deutsch', 'moyenne': 583503}]",583503.0,571343.5
clochette et la fée pirate,259292.0,1054357,,,Etats-Unis,Animation,2014-04-02,Tous publics,Walt Disney Pictures,0,6,2.0,,,13878,,1956,,2014,259292,458,566,25  %,cinema/images/posters/13878-20140203091852-1.jpg,,,,
numéro quatre,259311.0,688858,D.J. Caruso,421968.0,Etats-Unis,Science Fiction,2011-04-06,Tous publics,Walt Disney Pictures,0,4,2.0,,,11383,553.0,1955,I Am Number Four,2011,259311,260,997,38  %,cinema/images/posters/11383-20110122010139.jpg,,,,
l'affaire farewell,259383.0,771551,,,France,Thriller,2009-09-23,Tous publics,Pathé,0,6,2.0,Guillaume Canet,"Niels Arestrup, Willem Dafoe",10875,,1954,,2009,259383,457,568,34  %,cinema/images/posters/10875-20090703050738.jpg,"[{'id': '139', 'name': 'Guillaume Canet', 'role': 'Rôle principal', 'character': 'Pierre'}, {'id': '830', 'name': 'Niels Arestrup', 'role': 'Second rôle', 'character': 'Vallier'}, {'id': '387', 'name': 'Willem Dafoe', 'role': 'Second rôle', 'character': 'Feeney'}]","[{'name': 'Guillaume Canet', 'moyenne': 868224}, {'name': 'Niels Arestrup', 'moyenne': 559184}, {'name': 'Willem Dafoe', 'moyenne': 812428}]",868224.0,746612.0
les bad guys,259472.0,1122875,,,Etats-Unis,Animation,2022-04-06,Tous publics,Universal,0,11,3.0,,,21945,,1953,,2022,259472,598,434,23  %,cinema/images/posters/21945-20220312101355-0.jpg,"[{'id': '712', 'name': 'Sam Rockwell', 'role': 'Voix-off', 'character': 'M. Loup'}]","[{'name': 'Sam Rockwell', 'moyenne': 408805}]",408805.0,408805.0
le deuxième souffle,260479.0,493255,Alain Corneau,768392.0,France,Thriller,2007-10-24,Tous publics,ARP Selection,0,1,3.0,"Daniel Auteuil, Monica Bellucci","Michel Blanc, Jacques Dutronc",193,503.0,1939,Le Deuxième souffle,2007,260479,586,445,53  %,cinema/images/posters/p_4700.jpg,"[{'id': '32', 'name': 'Daniel Auteuil', 'role': 'Rôle principal', 'character': ""Gustave Minda, dit 'Gu'""}, {'id': '43', 'name': 'Monica Bellucci', 'role': 'Rôle principal', 'character': 'Manouche'}, {'id': '242', 'name': 'Michel Blanc', 'role': 'Second rôle', 'character': 'le commissaire Blot'}, {'id': '681', 'name': 'Jacques Dutronc', 'role': 'Second rôle', 'character': 'Orloff'}]","[{'name': 'Daniel Auteuil', 'moyenne': 1006810}, {'name': 'Monica Bellucci', 'moyenne': 1182197}, {'name': 'Michel Blanc', 'moyenne': 1188006}, {'name': 'Jacques Dutronc', 'moyenne': 642514}]",1188006.0,1125671.0
le transporteur,260706.0,541229,Louis Leterrier,1353727.0,France,Aventure - Action,2002-10-23,Tous publics,EuropaCorp,0,3,7.0,"François Berléand, Jason Statham",,1811,477.0,1937,The Transporter,2002,260706,508,513,48  %,cinema/images/posters/transporteur.jpg,"[{'id': '436', 'name': 'François Berléand', 'role': 'Rôle principal', 'character': 'Tarconi'}, {'id': '214', 'name': 'Jason Statham', 'role': 'Rôle principal', 'character': 'Frank Martin'}]","[{'name': 'François Berléand', 'moyenne': 718096}, {'name': 'Jason Statham', 'moyenne': 954392}]",954392.0,836244.0
shaun le mouton le film : la ferme contre-attaque,261698.0,731218,,,Grande-Bretagne,Animation,2019-10-16,Tous publics,Studiocanal,0,4,5.0,,,18816,,1929,,2019,261698,566,462,36  %,cinema/images/posters/18816-20190921111921-0.jpg,,,,
le passé,260761.0,965466,,,France,Drame,2013-05-17,Tous publics,Memento Films,0,6,4.0,"Bérénice Bejo, Tahar Rahim",,13576,,1935,,2013,260761,300,869,27  %,cinema/images/posters/13576-20130510090522.jpg,"[{'id': '809', 'name': 'Bérénice Bejo', 'role': 'Rôle principal', 'character': 'Marie'}, {'id': '813', 'name': 'Tahar Rahim', 'role': 'Rôle principal', 'character': 'Samir'}]","[{'name': 'Bérénice Bejo', 'moyenne': 439699}, {'name': 'Tahar Rahim', 'moyenne': 520372}]",520372.0,480035.5
le dernier chasseur de sorcières,261102.0,553846,,,Etats-Unis,Fantasy,2015-10-28,Moins de 12 ans,SND,0,5,6.0,Vin Diesel,"Michael Caine, Elijah Wood",14881,,1933,,2015,261102,265,985,47  %,cinema/images/posters/14881-20151017080348-5.jpg,"[{'id': '350', 'name': 'Vin Diesel', 'role': 'Rôle principal', 'character': 'Kaulder'}, {'id': '391', 'name': 'Michael Caine', 'role': 'Second rôle', 'character': 'Le père Dolan'}, {'id': '128', 'name': 'Elijah Wood', 'role': 'Second rôle', 'character': 'Dolan'}]","[{'name': 'Vin Diesel', 'moyenne': 1382126}, {'name': 'Michael Caine', 'moyenne': 620222}, {'name': 'Elijah Wood', 'moyenne': 1225138}]",1382126.0,1075828.6666666667
les as de la jungle 2 - opération tour du monde,262703.0,829193,,,France,Animation,2023-08-16,Tous publics,SND,0,6,3.0,,,23051,,1916,,2023,262703,624,421,32  %,cinema/images/posters/A-2023-23051-20230811071226.jpg,,,,
sous le même toit,261235.0,652313,Dominique Farrugia,807948.0,France,Comédie,2017-04-19,Tous publics,EuropaCorp,0,6,4.0,"Louise Bourgoin, Gilles Lellouche, Manu Payet",,16994,700.0,1932,Sous le même toit,2017,261235,434,602,40  %,cinema/images/posters/16994-20170415022419-0.jpg,"[{'id': '774', 'name': 'Louise Bourgoin', 'role': 'Rôle principal', 'character': 'Delphine'}, {'id': '701', 'name': 'Gilles Lellouche', 'role': 'Rôle principal', 'character': 'Yvan'}, {'id': '858', 'name': 'Manu Payet', 'role': 'Rôle principal', 'character': 'Nico'}]","[{'name': 'Louise Bourgoin', 'moyenne': 500827}, {'name': 'Gilles Lellouche', 'moyenne': 898194}, {'name': 'Manu Payet', 'moyenne': 812396}]",898194.0,737139.0
ce soir je dors chez toi,261274.0,517125,Olivier Baroux,1704970.0,France,Comédie,2007-11-21,Tous publics,Studiocanal,0,3,3.0,"Kad Merad, Jean-Paul Rouve",,317,849.0,1931,Ce soir je dors chez toi,2007,261274,273,957,51  %,cinema/images/posters/np_317.jpg,"[{'id': '462', 'name': 'Kad Merad', 'role': 'Rôle principal', 'character': 'Jacques'}, {'id': '209', 'name': 'Jean-Paul Rouve', 'role': 'Rôle principal', 'character': 'Alex'}]","[{'name': 'Kad Merad', 'moyenne': 1302759}, {'name': 'Jean-Paul Rouve', 'moyenne': 1449393}]",1449393.0,1376076.0
deja vu,261617.0,739510,Tony Scott,977967.0,Etats-Unis,Thriller,2006-12-13,Tous publics,Walt Disney Pictures,0,4,3.0,Denzel Washington,"Jim Caviezel, Val Kilmer",386,346.0,1930,Deja Vu,2006,261617,447,585,35  %,cinema/images/posters/dejavu.jpg,"[{'id': '114', 'name': 'Denzel Washington', 'role': 'Rôle principal', 'character': 'Doug Carlin'}, {'id': '176', 'name': 'Jim Caviezel', 'role': 'Second rôle', 'character': 'Oerstadt'}, {'id': '352', 'name': 'Val Kilmer', 'role': 'Second rôle', 'character': 'Agent Pryzwarra'}, {'id': '974', 'name': 'Elle Fanning', 'role': 'Apparition', 'character': 'Abbey'}]","[{'name': 'Denzel Washington', 'moyenne': 568910}, {'name': 'Jim Caviezel', 'moyenne': 406370}, {'name': 'Val Kilmer', 'moyenne': 763045}, {'name': 'Elle Fanning', 'moyenne': 617639}]",763045.0,649864.6666666666
les désastreuses aventures des orphelins beaudelaire,261743.0,653185,Brad Silberling,980037.0,Etats-Unis,Film familial,2004-12-22,Tous publics,UIP,0,4,9.0,"Jim Carrey, Meryl Streep",,1119,393.0,1928,Lemony Snicket's A Series of Unfortunate Events,2004,261743,445,588,40  %,cinema/images/posters/lemnoysnicket.jpg,"[{'id': '175', 'name': 'Jim Carrey', 'role': 'Rôle principal', 'character': 'le comte Olaf'}, {'id': '268', 'name': 'Meryl Streep', 'role': 'Rôle principal', 'character': ''}, {'id': '195', 'name': 'Jude Law', 'role': 'Voix-off', 'character': 'Lemony Snicket'}]","[{'name': 'Jim Carrey', 'moyenne': 1069923}, {'name': 'Meryl Streep', 'moyenne': 724168}, {'name': 'Jude Law', 'moyenne': 746466}]",1069923.0,846852.3333333334
showtime,261822.0,597575,,,Etats-Unis,Comédie,2002-04-24,Tous publics,Warner Bros.,0,4,4.0,"Robert De Niro, Eddie Murphy",,1803,,1927,,2002,261822,458,572,44  %,cinema/images/posters/showtime.jpg,"[{'id': '294', 'name': 'Robert De Niro', 'role': 'Rôle principal', 'character': 'Det. Mitch Preston'}, {'id': '124', 'name': 'Eddie Murphy', 'role': 'Rôle principal', 'character': 'Trey Sellars'}, {'id': '308', 'name': 'Rene Russo', 'role': 'Apparition', 'character': ''}]","[{'name': 'Robert De Niro', 'moyenne': 704717}, {'name': 'Eddie Murphy', 'moyenne': 816763}, {'name': 'Rene Russo', 'moyenne': 1330754}]",1330754.0,950744.6666666666
adieu monsieur haffmann,261930.0,745704,,,France,Drame,2022-01-12,Tous publics,Pathé,0,5,2.0,"Daniel Auteuil, Sara Giraudeau, Gilles Lellouche",,21548,,1926,,2022,261930,610,429,35  %,cinema/images/posters/21548-20211219115418-0.jpg,"[{'id': '32', 'name': 'Daniel Auteuil', 'role': 'Rôle principal', 'character': 'Joseph Haffmann'}, {'id': '1034', 'name': 'Sara Giraudeau', 'role': 'Rôle principal', 'character': 'Blanche Mercier'}, {'id': '701', 'name': 'Gilles Lellouche', 'role': 'Rôle principal', 'character': 'François Mercier'}]","[{'name': 'Daniel Auteuil', 'moyenne': 1006810}, {'name': 'Sara Giraudeau', 'moyenne': 482049}, {'name': 'Gilles Lellouche', 'moyenne': 898194}]",1006810.0,795684.3333333334
power rangers (2017),262004.0,551847,,,Etats-Unis,Fantasy,2017-04-05,Tous publics,Metropolitan,0,4,5.0,,Bryan Cranston,16410,,1924,,2017,262004,438,598,47  %,cinema/images/posters/16410-20170224085152-0.jpg,"[{'id': '899', 'name': 'Bryan Cranston', 'role': 'Second rôle', 'character': 'Zordon'}]","[{'name': 'Bryan Cranston', 'moyenne': 715346}]",715346.0,715346.0
le transporteur - héritage,262041.0,594935,,,France,Aventure - Action,2015-09-09,Tous publics,EuropaCorp,0,5,2.0,,,15160,,1923,,2015,262041,447,586,44  %,cinema/images/posters/15160-20150829050053-3.jpg,,,,
point break (2016),262725.0,524087,,,Etats-Unis,Aventure - Action,2016-02-03,Tous publics,SND,0,3,4.0,,,15574,,1915,,2016,262725,379,693,50  %,cinema/images/posters/15574-20151206104122-0.jpg,,,,
next,262793.0,615311,Lee Tamahori,858690.0,Etats-Unis,Science Fiction,2007-04-25,Tous publics,TFM Distribution,0,4,3.0,"Jessica Biel, Nicolas Cage, Julianne Moore",,49,440.0,1914,Next,2007,262793,386,681,43  %,cinema/images/posters/p_5192.jpg,"[{'id': '421', 'name': 'Jessica Biel', 'role': 'Rôle principal', 'character': 'Liz'}, {'id': '271', 'name': 'Nicolas Cage', 'role': 'Rôle principal', 'character': 'Cris Johnson'}, {'id': '200', 'name': 'Julianne Moore', 'role': 'Rôle principal', 'character': 'Callie Ferris'}]","[{'name': 'Jessica Biel', 'moyenne': 514598}, {'name': 'Nicolas Cage', 'moyenne': 608203}, {'name': 'Julianne Moore', 'moyenne': 577795}]",608203.0,566865.3333333334
ca ira mieux demain,262075.0,865977,,,France,Comédie,2000-11-15,Tous publics,Bac Films,0,5,2.0,"Nathalie Baye, Jean-Pierre Darroussin",Isabelle Carré,2440,,1922,,2000,262075,260,1008,30  %,cinema/images/posters/cairamieuxdemain.jpg,"[{'id': '270', 'name': 'Nathalie Baye', 'role': 'Rôle principal', 'character': ''}, {'id': '204', 'name': 'Jean-Pierre Darroussin', 'role': 'Rôle principal', 'character': ''}, {'id': '390', 'name': 'Isabelle Carré', 'role': 'Second rôle', 'character': ''}]","[{'name': 'Nathalie Baye', 'moyenne': 738247}, {'name': 'Jean-Pierre Darroussin', 'moyenne': 561454}, {'name': 'Isabelle Carré', 'moyenne': 448235}]",738247.0,582645.3333333334
