bankable acteur,moyenne,cluster
Jean-Claude Van Damme,713095.0,1
Chris Pratt,1973562.0,2
Kurt Russell,993234.0,0
Sylvester Stallone,1184352.0,0
Bradley Cooper,849694.0,0
Vin Diesel,1382126.0,0
Franck Dubosc,1206610.0,0
Claude Brasseur,1158423.0,0
Gérard Jugnot,1106164.0,0
Michèle Laroque,892896.0,0
Daniel Craig,1176531.0,0
Rami Malek,1813517.0,2
Léa Seydoux,875598.0,0
Ralph Fiennes,1840717.0,2
Christoph Waltz,1411275.0,0
Bruce Willis,1133115.0,0
Samuel L. Jackson,1248160.0,0
Robin Wright,666646.0,1
Jake Gyllenhaal,685892.0,1
Tom Holland,2643533.0,2
Samuel L. Jackson,1248160.0,0
Timothée Chalamet,1192064.0,0
Javier Bardem,854792.0,0
Josh Brolin,980209.0,0
Charlotte Rampling,592823.0,1
Léa Seydoux,875598.0,0
Christopher Walken,506535.0,1
Richard Anconina,1803165.0,2
Franck Dubosc,1206610.0,0
Claude Brasseur,1158423.0,0
Mathilde Seigner,761914.0,1
James Franco,813821.0,1
Holly Hunter,504425.0,1
Samuel L. Jackson,1248160.0,0
Rowan Atkinson,1647573.0,2
Burt Reynolds,368335.0,1
Dany Boon,2401746.0,2
Will Smith,1839970.0,2
Kenneth Branagh,1144969.0,0
Salma Hayek,414951.0,1
Halle Berry,970738.0,0
Hugh Jackman,1204170.0,0
Ian McKellen,1843143.0,2
Famke Janssen,1127067.0,0
François Cluzet,936250.0,0
Marion Cotillard,1384256.0,0
Gilles Lellouche,898194.0,0
Benoît Magimel,593227.0,1
Valérie Bonneton,839651.0,1
Jean Dujardin,1376846.0,0
Laurent Lafitte,1030427.0,0
Cate Blanchett,1298132.0,0
Gerard Butler,497458.0,1
Jonah Hill,519499.0,1
Kristen Wiig,433762.0,1
Javier Bardem,854792.0,0
Johnny Depp,1284078.0,0
Orlando Bloom,2423195.0,2
Geoffrey Rush,1255056.0,0
Keira Knightley,1170296.0,0
Elodie Bouchez,480490.0,1
Clovis Cornillac,812238.0,1
Jean Dujardin,1376846.0,0
Alexandra Lamy,759875.0,1
Sean Connery,1628324.0,2
Harrison Ford,1549858.0,0
Chris Pratt,1973562.0,2
Sylvester Stallone,1184352.0,0
Bradley Cooper,849694.0,0
Vin Diesel,1382126.0,0
Shia LaBeouf,860922.0,0
Patrick Dempsey,934333.0,0
John Malkovich,552689.0,1
Frances McDormand,427092.0,1
Chris Evans,1737423.0,2
Robert Downey Jr,1143031.0,0
Chadwick Boseman,2444599.0,2
Don Cheadle,1447575.0,0
Tom Holland,2643533.0,2
Scarlett Johansson,1254402.0,0
Jeremy Renner,1512114.0,0
Paul Rudd,912182.0,0
Alec Baldwin,683072.0,1
Sacha Baron Cohen,668612.0,1
José Garcia,1089910.0,0
Chris Rock,492374.0,1
Jean-Paul Rouve,1449393.0,0
Ben Stiller,639733.0,1
Michael Youn,928795.0,0
Rowan Atkinson,1647573.0,2
Matthew Broderick,363568.0,1
Whoopi Goldberg,531781.0,1
Jeremy Irons,727417.0,1
Jean Reno,1397999.0,0
Julia Roberts,1115041.0,0
Hugh Grant,983715.0,0
Alec Baldwin,683072.0,1
Pedro Pascal,830352.0,1
Denzel Washington,568910.0,1
Kim Basinger,676802.0,1
Daniel Auteuil,1006810.0,0
Gérard Depardieu,1310040.0,0
Thierry Lhermitte,983587.0,0
Michèle Laroque,892896.0,0
Jean Rochefort,915380.0,0
Vin Diesel,1382126.0,0
Helen Mirren,579047.0,1
Kurt Russell,993234.0,0
Charlize Theron,654280.0,1
Leonardo DiCaprio,2167821.0,2
Marion Cotillard,1384256.0,0
Michael Caine,620222.0,1
Joseph Gordon-Levitt,835723.0,1
Tom Hardy,1110186.0,0
Cillian Murphy,1146354.0,0
Ellen Page,1086331.0,0
Cécile De France,644071.0,1
Idris Elba,1031062.0,0
Scarlett Johansson,1254402.0,0
Bill Murray,647588.0,1
Christopher Walken,506535.0,1
Lambert Wilson,844391.0,0
Will Smith,1839970.0,2
Charlize Theron,654280.0,1
Jason Bateman,524359.0,1
Jeff Goldblum,984799.0,0
Bryce Dallas Howard,1928550.0,2
Chris Pratt,1973562.0,2
Sam Neill,847100.0,0
Omar Sy,1789989.0,2
Tom Hanks,1002550.0,0
Tim Allen,175467.0,1
Michael Keaton,695972.0,1
Benoît Magimel,593227.0,1
Emma Watson,3449268.0,2
Luke Evans,1513360.0,0
Kevin Kline,749101.0,1
Ewan McGregor,841258.0,1
Ian McKellen,1843143.0,2
Emma Thompson,990806.0,0
Samuel L. Jackson,1248160.0,0
Jude Law,746466.0,1
Annette Bening,548003.0,1
Sean William Scott,678771.0,1
Casey Affleck,933787.0,0
Daniel Craig,1176531.0,0
Eva Green,1335768.0,0
Mads Mikkelsen,1076825.0,0
Judi Dench,1242217.0,0
Kristen Wiig,433762.0,1
Pierce Brosnan,942816.0,0
Sophie Marceau,1103195.0,0
Robert Carlyle,872328.0,0
Judi Dench,1242217.0,0
Denise Richards,1071110.0,0
Jim Carrey,1069923.0,0
Idris Elba,1031062.0,0
Keanu Reeves,878836.0,0
Christian Bale,690751.0,1
Heath Ledger,695948.0,1
Michael Caine,620222.0,1
Aaron Eckhart,612496.0,1
Morgan Freeman,1025955.0,0
Maggie Gyllenhaal,446486.0,1
Gary Oldman,1667324.0,2
Cillian Murphy,1146354.0,0
Liam Neeson,806132.0,1
Famke Janssen,1127067.0,0
Angelina Jolie,970914.0,0
Daniel Craig,1176531.0,0
Jon Voight,1023670.0,0
François Cluzet,936250.0,0
Marion Cotillard,1384256.0,0
Gilles Lellouche,898194.0,0
Laurent Lafitte,1030427.0,0
Benoît Magimel,593227.0,1
Valérie Bonneton,839651.0,1
Jean Dujardin,1376846.0,0
José Garcia,1089910.0,0
Tom Cruise,1742496.0,2
Simon Pegg,842401.0,1
Jeremy Renner,1512114.0,0
Alec Baldwin,683072.0,1
Jamie Foxx,956348.0,0
Andrew Garfield,1197757.0,0
Emma Stone,765010.0,1
Sally Field,839469.0,1
Paul Giamatti,537639.0,1
Jennifer Lawrence,1148487.0,0
