bankable acteur,moyenne
Tom Hardy,1110186.0
Anne Hathaway,934320.0
Michael Caine,620222.0
Marion Cotillard,1384256.0
Morgan Freeman,1025955.0
Joseph Gordon-Levitt,835723.0
Gary Oldman,1667324.0
Aaron Eckhart,612496.0
Cillian Murphy,1146354.0
Liam Neeson,806132.0
Angela Basset,945005.0
Michael B. Jordan,1458272.0
Alain Chabat,1587428.0
Jamel Debbouze,2206938.0
Géraldine Nakache,773623.0
Patrick Timsit,1003005.0
Lambert Wilson,844391.0
Daniel Craig,1176531.0
Mathieu Amalric,468160.0
Judi Dench,1242217.0
Eddie Murphy,816763.0
Antonio Banderas,649953.0
Alain Chabat,1587428.0
Cameron Diaz,991389.0
Mike Myers,849060.0
Justin Timberlake,497985.0
Tom Cruise,1742496.0
Jon Voight,1023670.0
Emmanuelle Béart,665732.0
Jean Reno,1397999.0
Kristin Scott Thomas,744904.0
Christian Clavier,1940185.0
Elie Semoun,1189006.0
Tom Cruise,1742496.0
Dakota Fanning,1011257.0
Tim Robbins,476231.0
Ryan Gosling,843454.0
Margot Robbie,1286424.0
Will Ferrell,441872.0
Helen Mirren,579047.0
Tom Hanks,1002550.0
Audrey Tautou,1284086.0
Jean Reno,1397999.0
Ian McKellen,1843143.0
Denis Podalydès,489900.0
Harrison Ford,1549858.0
Kim Basinger,676802.0
Johnny Depp,1284078.0
Penelope Cruz,555782.0
Geoffrey Rush,1255056.0
Judi Dench,1242217.0
Harrison Ford,1549858.0
Shia LaBeouf,860922.0
Cate Blanchett,1298132.0
Eddie Redmayne,1231262.0
Johnny Depp,1284078.0
Jude Law,746466.0
Ryan Reynolds,855619.0
Will Smith,1839970.0
Linda Fiorentino,755710.0
Tommy Lee Jones,1040078.0
Alain Chabat,1587428.0
Ethan Hawke,600844.0
Clive Owen,636984.0
Mathieu Kassovitz,1128188.0
Idris Elba,1031062.0
Pascal Elbé,391253.0
Joaquin Phoenix,776836.0
Robert De Niro,704717.0
Tom Cruise,1742496.0
Brendan Gleeson,1178490.0
Anthony Hopkins,885304.0
Franck Gastambide,955729.0
Ramzy Bedia,980380.0
Cate Blanchett,1298132.0
Orlando Bloom,2423195.0
Luke Evans,1513360.0
Ian McKellen,1843143.0
Benedict Cumberbatch,1605997.0
Jean-Paul Rouve,1449393.0
Arnold Schwarzenegger,1278200.0
Johnny Depp,1284078.0
Helena Bonham Carter,1875890.0
Anne Hathaway,934320.0
Alan Rickman,2368829.0
Marion Cotillard,1384256.0
Gérard Depardieu,1310040.0
Jean-Paul Rouve,1449393.0
Emmanuelle Seigner,729917.0
Sylvie Testud,453379.0
Tom Cruise,1742496.0
Jennifer Connelly,731433.0
Ed Harris,756989.0
Val Kilmer,763045.0
Halle Berry,970738.0
Hugh Jackman,1204170.0
Ian McKellen,1843143.0
Famke Janssen,1127067.0
Ellen Page,1086331.0
Jennifer Lawrence,1148487.0
Woody Harrelson,856816.0
Philip Seymour Hoffman,633872.0
Julianne Moore,577795.0
Vin Diesel,1382126.0
Dwayne Johnson,1246888.0
Paul Walker,935181.0
Luke Evans,1513360.0
Gal Gadot,1494217.0
Jason Statham,954392.0
Jason Bateman,524359.0
Robert De Niro,704717.0
Harvey Keitel,415409.0
- Madonna,713576.0
Tim Allen,175467.0
Jamel Debbouze,2206938.0
Franck Gastambide,955729.0
Tom Hanks,1002550.0
Pierre Niney,1213211.0
Keanu Reeves,878836.0
Sandra Bullock,612196.0
George Clooney,965655.0
Ed Harris,756989.0
Bruce Willis,1133115.0
Toni Collette,623989.0
Audrey Tautou,1284086.0
Gaspard Ulliel,686245.0
Clovis Cornillac,812238.0
Marion Cotillard,1384256.0
Jean-Pierre Darroussin,561454.0
Albert Dupontel,692283.0
André Dussollier,799227.0
Jodie Foster,866368.0
Jean-Paul Rouve,1449393.0
Julie Depardieu,521295.0
Mathieu Amalric,468160.0
Guillaume Canet,868224.0
Benoît Poelvoorde,839930.0
Jean-Hugues Anglade,647571.0
Leïla Bekhti,630885.0
Virginie Efira,546961.0
Marina Foïs,775272.0
Alban Ivanov,748878.0
Marlon Wayans,762024.0
Anna Faris,853912.0
Benedict Cumberbatch,1605997.0
Tom Hanks,1002550.0
Dany Boon,2401746.0
Alice Pol,719517.0
Yvan Attal,495954.0
Sabine Azéma,829894.0
Michel Blanc,1188006.0
Kev Adams,1422375.0
Jean-Paul Rouve,1449393.0
Michel Blanc,1188006.0
Eric Judor,1024553.0
Ramzy Bedia,980380.0
Glenn Close,948225.0
Valérie Lemercier,1499262.0
Minnie Driver,429424.0
Jack Black,747587.0
Adrien Brody,608947.0
Naomi Watts,473915.0
Ian McKellen,1843143.0
Cate Blanchett,1298132.0
Elijah Wood,1225138.0
Halle Berry,970738.0
Pierce Brosnan,942816.0
Judi Dench,1242217.0
