Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre,titre_vo,realisateur,genre,annee,pays,entrees,salles,moy_salle,part_marche,affiche,moyenne_fr_realisateur,sortie,distributeur,classification,acteurs,moyennes_individuelles_acteurs
thérapie de couples,80771.0,131958,,Etats-Unis,Comédie,2010-02-24,Tous publics,Universal,,,0,1,17.0,"Jason Bateman, Vince Vaughn",Jean Reno,10926,,4749,thérapie de couples,,,Comédie,2010,f23,80771,130,621,61  %,cinema/images/posters/10926-20131228020500.jpg,,24/02/2010,Universal,Tous publics,"[{'id': '837', 'name': 'Jason Bateman', 'role': 'Rôle principal', 'character': 'Jason'}, {'id': '357', 'name': 'Vince Vaughn', 'role': 'Rôle principal', 'character': 'Dave'}, {'id': '210', 'name': 'Jean Reno', 'role': 'Second rôle', 'character': 'Marcel'}]","[{'name': 'Jason Bateman', 'moyenne': 524359}, {'name': 'Vince Vaughn', 'moyenne': 524166}, {'name': 'Jean Reno', 'moyenne': 1397999}]"
presque célèbre,80831.0,158059,Cameron Crowe,Etats-Unis,Comédie,2001-03-21,Tous publics,Columbia,,,0,2,11.0,Kate Hudson,"Philip Seymour Hoffman, Frances McDormand",2541,422.0,4748,presque célèbre,Almost Famous,Cameron Crowe,Comédie,2001,f23,80831,109,742,51  %,cinema/images/posters/almostfamous.jpg,528271.0,21/03/2001,Columbia,Tous publics,"[{'id': '221', 'name': 'Kate Hudson', 'role': 'Rôle principal', 'character': 'Penny Lane'}, {'id': '285', 'name': 'Philip Seymour Hoffman', 'role': 'Second rôle', 'character': 'Lester Bangs'}, {'id': '424', 'name': 'Frances McDormand', 'role': 'Second rôle', 'character': 'Elaine'}]","[{'name': 'Kate Hudson', 'moyenne': 181372}, {'name': 'Philip Seymour Hoffman', 'moyenne': 633872}, {'name': 'Frances McDormand', 'moyenne': 427092}]"
requiem pour une tueuse,80872.0,94157,,France,Thriller,2011-02-23,Tous publics,Studiocanal,,,0,1,17.0,"Clovis Cornillac, Mélanie Laurent",,11736,,4747,requiem pour une tueuse,,,Thriller,2011,f25,80872,229,353,86  %,cinema/images/posters/11736-20101111041104.jpg,,23/02/2011,Studiocanal,Tous publics,"[{'id': '91', 'name': 'Clovis Cornillac', 'role': 'Rôle principal', 'character': 'Rico'}, {'id': '629', 'name': 'Mélanie Laurent', 'role': 'Rôle principal', 'character': 'Lucrèce'}]","[{'name': 'Clovis Cornillac', 'moyenne': 812260}, {'name': 'Mélanie Laurent', 'moyenne': 737378}]"
hanté par ses ex,80886.0,156799,,Etats-Unis,Romance,2009-06-17,Tous publics,Metropolitan,,,0,3,9.0,"Jennifer Garner, Matthew McConaughey","Michael Douglas, Emma Stone",10693,,4746,hanté par ses ex,,,Romance,2009,f23,80886,187,433,52  %,cinema/images/posters/np_10693.jpg,,17/06/2009,Metropolitan,Tous publics,"[{'id': '498', 'name': 'Jennifer Garner', 'role': 'Rôle principal', 'character': 'Jenny Perotti'}, {'id': '245', 'name': 'Matthew McConaughey', 'role': 'Rôle principal', 'character': 'Connor Mead'}, {'id': '250', 'name': 'Michael Douglas', 'role': 'Second rôle', 'character': 'Oncle Wayne'}, {'id': '838', 'name': 'Emma Stone', 'role': 'Second rôle', 'character': 'Allison Vandermeersh'}]","[{'name': 'Jennifer Garner', 'moyenne': 867874}, {'name': 'Matthew McConaughey', 'moyenne': 559265}, {'name': 'Michael Douglas', 'moyenne': 1018055}, {'name': 'Emma Stone', 'moyenne': 765010}]"
six jours,81528.0,142516,,France,Thriller,2025-01-01,Tous publics,SND,,,0,2,14.0,,,24377,,4727,six jours,,,Thriller,2025,f25,81528,261,312,57  %,cinema/images/posters/A-2025-24377-20250106062921.jpg,,01/01/2025,SND,Tous publics,,
neruda,81313.0,236017,,Chili,Drame,2017-01-04,Tous publics,Wild Bunch,,,0,2,11.0,Gael Garcia Bernal,,16497,,4733,neruda,,,Drame,2017,f15.png,81313,99,821,34  %,cinema/images/posters/16497-20161210013439-0.jpg,,04/01/2017,Wild Bunch,Tous publics,"[{'id': '143', 'name': 'Gael Garcia Bernal', 'role': 'Rôle principal', 'character': 'Óscar Peluchonneau'}]","[{'name': 'Gael Garcia Bernal', 'moyenne': 195117}]"
royal affair,81405.0,245895,,Danemark,Drame,2012-11-21,Tous publics,Jour2Fête,,,0,3,10.0,Mads Mikkelsen,,13137,,4729,royal affair,,,Drame,2012,f20.gif,81405,110,740,33  %,cinema/images/posters/13137-20121122071127.jpg,,21/11/2012,Jour2Fête,Tous publics,"[{'id': '996', 'name': 'Mads Mikkelsen', 'role': 'Rôle principal', 'character': 'Johann Friedrich Struensee'}]","[{'name': 'Mads Mikkelsen', 'moyenne': 1076825}]"
convoi exceptionnel,81523.0,122801,Bertrand Blier,France,Comédie,2019-03-13,Tous publics,UGC Distribution,,,0,2,16.0,"Christian Clavier, Gérard Depardieu","Alexandra Lamy, Sylvie Testud",18933,39.0,4728,convoi exceptionnel,Convoi exceptionnel,Bertrand Blier,Comédie,2019,f25,81523,160,510,66  %,cinema/images/posters/18933-20190303011720-0.jpg,1121652.0,13/03/2019,UGC Distribution,Tous publics,"[{'id': '83', 'name': 'Christian Clavier', 'role': 'Rôle principal', 'character': 'Foster'}, {'id': '142', 'name': 'Gérard Depardieu', 'role': 'Rôle principal', 'character': 'Taupin'}, {'id': '825', 'name': 'Alexandra Lamy', 'role': 'Second rôle', 'character': 'Sabine'}, {'id': '470', 'name': 'Sylvie Testud', 'role': 'Second rôle', 'character': 'Jennifer'}]","[{'name': 'Christian Clavier', 'moyenne': 1940185}, {'name': 'Gérard Depardieu', 'moyenne': 1310040}, {'name': 'Alexandra Lamy', 'moyenne': 740247}, {'name': 'Sylvie Testud', 'moyenne': 453379}]"
demain,82144.0,1087306,,France,Documentaire,2015-12-02,Tous publics,Mars Distribution,,,0,17,8.0,,,15552,,4714,demain,,,Documentaire,2015,f25,82144,154,533,8  %,cinema/images/posters/15552-20151130064703-0.jpg,,02/12/2015,Mars Distribution,Tous publics,,
l'amour est une fête,81674.0,127055,,France,Comédie,2018-09-19,Moins de 12 ans,Mars Distribution,,,0,2,10.0,"Guillaume Canet, Gilles Lellouche",,18280,,4724,l'amour est une fête,,,Comédie,2018,f25,81674,306,267,64  %,cinema/images/posters/18280-20180915052037-1.jpg,,19/09/2018,Mars Distribution,,"[{'id': '139', 'name': 'Guillaume Canet', 'role': 'Rôle principal', 'character': 'Franck / Martin'}, {'id': '701', 'name': 'Gilles Lellouche', 'role': 'Rôle principal', 'character': 'Serge / Geroges'}]","[{'name': 'Guillaume Canet', 'moyenne': 868224}, {'name': 'Gilles Lellouche', 'moyenne': 898194}]"
les éblouis,81678.0,229038,,France,Drame,2019-11-20,Tous publics,Pyramide,,,0,3,10.0,"Camille Cottin, Jean-Pierre Darroussin",,19783,,4723,les éblouis,,,Drame,2019,f25,81678,146,559,36  %,cinema/images/posters/19783-20191116110227-0.jpg,,20/11/2019,Pyramide,Tous publics,"[{'id': '1015', 'name': 'Camille Cottin', 'role': 'Rôle principal', 'character': 'Christine Lourmel'}, {'id': '204', 'name': 'Jean-Pierre Darroussin', 'role': 'Rôle principal', 'character': 'Le Berger'}]","[{'name': 'Camille Cottin', 'moyenne': 372997}, {'name': 'Jean-Pierre Darroussin', 'moyenne': 561478}]"
la mer à boire,81783.0,130796,,France,Comédie dramatique,2012-02-22,Tous publics,Wild Bunch,,,0,1,16.0,Daniel Auteuil,,12600,,4721,la mer à boire,,,Comédie dramatique,2012,f25,81783,149,549,63  %,cinema/images/posters/12600-20120115100147.jpg,,22/02/2012,Wild Bunch,Tous publics,"[{'id': '32', 'name': 'Daniel Auteuil', 'role': 'Rôle principal', 'character': 'Georges Pierret'}]","[{'name': 'Daniel Auteuil', 'moyenne': 1006810}]"
et ta soeur,81813.0,133120,,France,Comédie dramatique,2016-01-13,Tous publics,Le Pacte,,,0,2,8.0,"Virginie Efira, Géraldine Nakache",,15644,,4720,et ta soeur,,,Comédie dramatique,2016,f25,81813,251,326,61  %,cinema/images/posters/15644-20160110061023-0.jpg,,13/01/2016,Le Pacte,Tous publics,"[{'id': '844', 'name': 'Virginie Efira', 'role': 'Rôle principal', 'character': 'Marie'}, {'id': '833', 'name': 'Géraldine Nakache', 'role': 'Rôle principal', 'character': 'Tessa'}]","[{'name': 'Virginie Efira', 'moyenne': 546961}, {'name': 'Géraldine Nakache', 'moyenne': 773623}]"
je compte sur vous,81868.0,124709,,France,Comédie dramatique,2015-12-30,Tous publics,Rezo Films,,,0,2,15.0,"Zabou Breitman, Vincent Elbaz",,15592,,4719,je compte sur vous,,,Comédie dramatique,2015,f25,81868,199,411,66  %,cinema/images/posters/15592-20151228043519-0.jpg,,30/12/2015,Rezo Films,Tous publics,"[{'id': '829', 'name': 'Zabou Breitman', 'role': 'Rôle principal', 'character': 'Inspecteur Moretti'}, {'id': '351', 'name': 'Vincent Elbaz', 'role': 'Rôle principal', 'character': 'Gilbert Perez'}]","[{'name': 'Zabou Breitman', 'moyenne': 575630}, {'name': 'Vincent Elbaz', 'moyenne': 647227}]"
les olympiades,81883.0,194786,Jacques Audiard,France,Comédie dramatique,2021-11-03,Tous publics,Memento Films,,,0,3,12.0,,,21243,576.0,4718,les olympiades,"Les Olympiades (Paris, 13th District)",Jacques Audiard,Comédie dramatique,2021,f25,81883,229,358,42  %,cinema/images/posters/21243-20211023114614-0.jpg,815249.0,03/11/2021,Memento Films,Tous publics,,
