Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
college attitude,86 808,192 293,Raja Gosnell,Etats-Unis,Romance,14/07/1999,Tous publics,UFD,9 625,9 677,0,2,4,Drew Barrymore,"John C. Reilly, Jessica Alba"
les invincibles,86 866,135 623,,France,Comédie,18/09/2013,Tous publics,EuropaCorp,10 728,10 784,0,2,7,"Gérard Depardieu, Virginie Efira","Edouard Baer, Michel Galabru"
la première fois que j'ai eu 20 ans,86 966,187 264,,France,Comédie,06/10/2004,Tous publics,Pathé,9 704,9 756,0,2,9,,Pierre Arditi
maryline,87 066,148 900,,France,Drame,15/11/2017,Tous publics,Gaumont,10 404,10 458,0,2,11,"Vanessa Paradis, Alice Pol",
l'illusioniste (2010),87 969,295 027,,France,Animation,16/06/2010,Tous publics,Pathé,8 288,8 334,0,5,8,,
deux en un,87 082,139 979,Peter Farrelly,Etats-Unis,Comédie,07/01/2004,Tous publics,UFD,10 622,10 677,0,1,10,"Matt Damon, Greg Kinnear",Eva Mendes
comancheria,87 138,249 914,,Etats-Unis,Western,07/09/2016,Tous publics,Wild Bunch,8 813,8 860,0,3,7,"Jeff Bridges, Chris Pine",
"miraï, ma petite soeur",88 044,213 026,,Japon,Animation,26/12/2018,Tous publics,Wild Bunch,9 291,9 340,0,1,20,,
violent night,88 083,238 426,,Etats-Unis,Aventure - Action,30/11/2022,Tous publics,Universal,8 956,9 002,0,4,5,,
matthias & maxime,87 310,180 439,Xavier Dolan,Canada,Drame,16/10/2019,Tous publics,Diaphana,9 816,9 869,0,1,13,,
maintenant ou jamais,87 377,149 442,,France,Drame,03/09/2014,Tous publics,Mars Distribution,10 393,10 447,0,2,9,Leïla Bekhti,
on voulait tout casser,87 397,194 859,,France,Comédie dramatique,03/06/2015,Tous publics,Gaumont,9 580,9 633,0,3,5,"Kad Merad, Charles Berling, Benoît Magimel",
ainsi va la vie (1998),87 443,158 069,,Etats-Unis,Romance,23/09/1998,Tous publics,UFD,10 215,10 268,0,3,9,Sandra Bullock,
fumer fait tousser,87 446,178 557,Quentin Dupieux,France,Comédie,30/11/2022,Tous publics,Gaumont,9 846,9 899,0,3,6,"Vincent Lacoste, Gilles Lellouche","Adèle Exarchopoulos, Benoît Poelvoorde"
che - 2ème partie : guerilla,87 934,172 914,Steven Soderbergh,Etats-Unis,Aventure - Action,28/01/2009,Tous publics,Warner Bros.,9 942,9 994,0,2,13,Benicio Del Toro,
confessions d'un homme dangereux,87 945,340 143,George Clooney,Etats-Unis,Thriller,11/06/2003,Tous publics,TFM Distribution,7 815,7 861,0,5,8,"Drew Barrymore, Julia Roberts, George Clooney, Sam Rockwell","Matt Damon, Brad Pitt"
le fils de l'autre,88 017,251 239,,France,Comédie dramatique,04/04/2012,Tous publics,Haut et Court,8 798,8 844,0,3,13,"Emmanuelle Devos, Pascal Elbé",
l'affaire rachel singer,88 044,163 431,,Etats-Unis,Thriller,15/06/2011,Tous publics,UIP,10 120,10 172,0,2,8,"Jessica Chastain, Helen Mirren, Sam Worthington",
creep,88 334,174 343,,Grande-Bretagne,Horreur,04/05/2005,Moins de 16 ans,Bac Films,9 918,9 970,0,3,10,,
la panthère rose 2,88 150,106 547,,Etats-Unis,Film familial,18/02/2009,Tous publics,Sony Pictures,11 460,11 518,0,1,14,"Steve Martin, Jean Reno","Andy Garcia, Jeremy Irons"
the prodigies,89 083,144 536,,France,Animation,08/06/2011,Moins de 12 ans,Warner Bros.,10 501,10 555,0,2,11,,
"ruby, l'ado kraken",88 243,245 847,,Etats-Unis,Animation,28/06/2023,Tous publics,Universal,8 859,8 905,0,5,9,,
l'art d'aimer,88 253,205 036,,France,Comédie,23/11/2011,Tous publics,Pyramide,9 389,9 439,0,3,13,"François Cluzet, Julie Depardieu","Judith Godrèche, Gaspard Ulliel"
le coeur en braille,88 299,138 147,,France,Comédie dramatique,28/12/2016,Tous publics,Gaumont,10 668,10 724,0,1,13,"Charles Berling, Pascal Elbé",
angelo dans la forêt mystérieuse,88 312,192 407,,France,Animation,23/10/2024,Tous publics,Le Pacte,9 622,9 675,0,2,13,,
regression,88 390,148 918,,Espagne,Thriller,28/10/2015,Moins de 12 ans,Metropolitan,10 403,10 457,0,2,14,"Ethan Hawke, Emma Watson",
making of,88 397,194 727,Cédric Kahn,France,Comédie,10/01/2024,Tous publics,Ad vitam,9 584,9 637,0,2,8,"Jonathan Cohen, Denis Podalydès",
titane,88 523,303 610,,France,Drame,14/07/2021,Moins de 16 ans,Diaphana,8 166,8 212,0,5,8,Vincent Lindon,
sabotage,88 534,116 213,,Etats-Unis,Aventure - Action,07/05/2014,Moins de 12 ans,Metropolitan,11 188,11 246,0,2,9,Arnold Schwarzenegger,Sam Worthington
ben is back,88 685,132 013,,Etats-Unis,Drame,16/01/2019,Tous publics,Paramount,10 801,10 857,0,2,10,Julia Roberts,
chacun chez soi,89 041,157 496,,France,Comédie,02/06/2021,Tous publics,Studiocanal,10 224,10 277,0,3,4,Michèle Laroque,
a beautiful day,89 169,164 949,,Grande-Bretagne,Thriller,08/11/2017,Moins de 12 ans,SND,10 094,10 146,0,2,13,Joaquin Phoenix,
doomsday,89 421,146 813,,Etats-Unis,Horreur,02/04/2008,Moins de 12 ans,SND,10 453,10 507,0,1,8,,
l'incroyable voyage,89 222,796 752,,Etats-Unis,Film familial,13/10/1993,Tous publics,GBVI,4 809,4 848,0,4,5,,
leur morale... et la nôtre,89 319,159 885,,France,Comédie,27/08/2008,Tous publics,Gaumont,10 186,10 239,0,2,12,"Victoria Abril, André Dussollier",
les choses humaines,89 353,182 074,Yvan Attal,France,Drame,01/12/2021,Tous publics,Gaumont,9 791,9 844,0,3,9,"Charlotte Gainsbourg, Mathieu Kassovitz",Pierre Arditi
la cité rose,89 642,161 806,,France,Comédie dramatique,27/03/2013,Tous publics,UGC Distribution,10 144,10 197,0,3,11,,
echange standard,89 384,141 677,,Etats-Unis,Comédie,28/12/2011,Tous publics,Universal,10 569,10 623,0,2,12,"Jason Bateman, Ryan Reynolds",
take shelter,89 421,200 659,,Etats-Unis,Drame,04/01/2012,Tous publics,Ad vitam,9 479,9 530,0,2,14,Jessica Chastain,
imaginary,89 440,178 521,,Etats-Unis,Horreur,06/03/2024,Moins de 12 ans,Metropolitan,9 847,9 900,0,2,10,,
beaucoup de bruit pour rien,89 469,945 721,Kenneth Branagh,Etats-Unis,Comédie,26/05/1993,Tous publics,UGC Distribution,4 205,4 242,0,9,6,"Kenneth Branagh, Michael Keaton, Emma Thompson","Kate Beckinsale, Keanu Reeves, Denzel Washington"
titan a.e.,89 534,205 672,,Etats-Unis,Animation,18/10/2000,Tous publics,UFD,9 383,9 433,0,1,10,,
hérédité,89 652,176 739,,Etats-Unis,Horreur,13/06/2018,Moins de 12 ans,Metropolitan,9 880,9 933,0,3,5,"Gabriel Byrne, Toni Collette",
les regrets,89 668,225 340,Cédric Kahn,France,Comédie dramatique,02/09/2009,Tous publics,Mars Distribution,9 146,9 192,0,3,8,Yvan Attal,
the jane doe identity,90 482,189 323,,Etats-Unis,Horreur,31/05/2017,Moins de 12 ans,Wild Bunch,9 673,9 725,0,3,8,,
la salle des profs,90 612,235 669,,Allemagne,Drame,06/03/2024,Tous publics,-,8 994,9 040,0,4,9,,
the company men,89 737,158 860,,Etats-Unis,Drame,30/03/2011,Tous publics,Gaumont,10 194,10 247,0,2,9,"Ben Affleck, Kevin Costner",Tommy Lee Jones
la fleur de l'âge,89 871,216 661,,France,Comédie,01/05/2013,Tous publics,Mars Distribution,9 244,9 291,0,4,13,Pierre Arditi,Laure Calamy
de son vivant,90 106,166 244,,France,Drame,24/11/2021,Tous publics,Studiocanal,10 077,10 129,0,3,8,"Cécile De France, Catherine Deneuve, Benoît Magimel",
sils maria,90 148,232 352,Olivier Assayas,France,Drame,20/08/2014,Tous publics,Films du Losange,9 048,9 094,0,4,13,"Juliette Binoche, Chloë Grace Moretz, Kristen Stewart",
