title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
L'Odyssée,https://fr.web.img2.acsta.net/c_310_420/pictures/16/08/01/14/53/238897.jpg,12 octobre 2016,en salle,"Aventure,Biopic,Drame",Tout public,"1948. Jacques-Yves Cousteau, sa femme et ses deux fils, vivent au paradis, dans une jolie maison surplombant la mer Méditerranée. Mais Cousteau ne rêve que d’aventure. Grâce à son invention, un scaphandre autonome qui permet de respirer sous l’eau, il a découvert un nouveau monde. Désormais, ce monde, il veut l’explorer. Et pour ça, il est prêt à tout sacrifier.",Jérôme Salle,"Jérôme Salle,Laurent Turner","Lambert Wilson,Pierre Niney,Audrey Tautou","3,4","3,8",France,Wild Bunch Distribution,1 prix et 1 nomination,2016,Long métrage,"Anglais, Français",1 206 547 entrées
Au-delà,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/79/73/41/19623706.jpg,19 janvier 2011,en salle,"Drame,Fantastique,Thriller",Tout public,"est l'histoire de trois personnages hantés par la mort et les interrogations qu'elle soulève. George est un Américain d'origine modeste, affecté d'un ""don"" de voyance qui pèse sur lui comme une malédiction. Marie, journaliste française, est confrontée à une expérience de mort imminente, et en a été durablement bouleversée. Et quand Marcus, un jeune garçon de Londres, perd l'être qui lui était le plus cher et le plus indispensable, il se met désespérément en quête de réponses à ses interrogations. George, Marie et Marcus sont guidés par le même besoin de savoir, la même quête. Leurs destinées vont finir par se croiser pour tenter de répondre au mystère de l'Au-delà.",Clint Eastwood,Peter Morgan,"Matt Damon,Cécile de France,Thierry Neuvic","2,7","2,6",U.S.A.,Warner Bros. France,8 nominations,2010,Long métrage,"Anglais, Français",1 905 487 entrées
Comme des bêtes,https://fr.web.img6.acsta.net/c_310_420/pictures/16/06/06/11/30/391424.jpg,27 juillet 2016,en salle,"Animation,Comédie,Famille",Tout public,La vie secrète que mènent nos animaux domestiques une fois que nous les laissons seuls à la maison pour partir au travail ou à l’école.,"Yarrow Cheney,Chris Renaud","Brian Lynch,Cinco Paul","Philippe Lacheau,Louis C.K.,François Damiens","3,5","3,6",U.S.A.,Universal Pictures International France,1 nomination,2016,Long métrage,Anglais,3 724 347 entrées
Under The Silver Lake,https://fr.web.img3.acsta.net/c_310_420/pictures/18/06/15/16/38/0800062.jpg,8 août 2018,en salle,"Comédie,Thriller",Tout public,"À Los Angeles, Sam, 33 ans, sans emploi, rêve de célébrité. Lorsque Sarah, une jeune et énigmatique voisine, se volatilise brusquement, Sam se lance à sa recherche et entreprend alors une enquête obsessionnelle surréaliste à travers la ville. Elle le fera plonger jusque dans les profondeurs les plus ténébreuses de la Cité des Anges, où il devra élucider disparitions et meurtres mystérieux sur fond de scandales et de conspirations.",David Robert Mitchell,David Robert Mitchell,"Andrew Garfield,Riley Keough,Topher Grace","3,9","3,1",U.S.A.,Le Pacte,1 nomination,2018,Long métrage,Anglais,206 714 entrées
Robin des Bois,https://fr.web.img6.acsta.net/c_310_420/pictures/18/10/22/15/48/3920832.jpg,28 novembre 2018,en salle,"Action,Aventure",Tout public,"Robin de Loxley, combattant aguerri revenu des croisades, et un chef maure prennent la tête d’une audacieuse révolte contre la corruption des institutions.",Otto Bathurst,"Ben Chandler,David James Kelly","Taron Egerton,Jamie Foxx,Jamie Dornan","2,0","2,2",U.S.A.,Metropolitan FilmExport,3 nominations,2018,Long métrage,Anglais,363 926 entrées
2 Guns,https://fr.web.img3.acsta.net/c_310_420/pictures/210/396/21039614_20130913115001342.jpg,25 septembre 2013,en salle,"Action,Comédie",Tout public,"Bobby et Stig passent tout leur temps ensemble et mouillent dans des affaires très louches. Ils ne le savent pas, mais ils appartiennent tous les deux à des agences gouvernementales qui leur ont demandé d’infiltrer un réseau de trafiquants de drogue.,Lorsqu’un casse auquel chacun participe pour coincer l’autre tourne mal, Bobby comme Stig sont lâchés par leurs hiérarchies respectives. Ils découvrent qu’ils ont été manipulés… Désormais, tout le monde veut les voir en prison, ou encore mieux, morts. Ils ne peuvent plus compter que l’un sur l’autre, et malheureusement pour ceux qui veulent leur peau, à trop jouer les malfrats, ils ont pris de mauvaises habitudes…",Baltasar Kormákur,Blake Masters,"Denzel Washington,Mark Wahlberg,Paula Patton","2,1","3,3",U.S.A.,Sony Pictures Releasing France,1 nomination,2013,Long métrage,Anglais,333 322 entrées
J'irai où tu iras,https://fr.web.img4.acsta.net/c_310_420/pictures/19/08/12/17/40/4451357.jpg,2 octobre 2019,en salle,Comédie,Tout public,"Vali et Mina sont deux sœurs que tout oppose, éloignées par les épreuves de la vie. L’une est chanteuse, rêveuse et émotive. L’autre est thérapeute, distante et rationnelle. Leur père aimant finit par trouver l’occasion rêvée pour les rassembler le temps d’un week-end et tenter de les réconcilier : Vali a décroché une audition à Paris et c’est Mina qui va devoir l’y emmener malgré son mépris pour la passion de sa sœur.,C’est une histoire de retrouvailles, une histoire d’amour entre deux sœurs, l’histoire d’une famille qui s’aime mais qui ne sait plus se le dire.",Géraldine Nakache,Géraldine Nakache,"Leïla Bekhti,Géraldine Nakache,Patrick Timsit","3,2","2,7",France,Mars Films,1 nomination,2018,Long métrage,Français,448 396 entrées
"Moi, Moche et Méchant 3",https://fr.web.img5.acsta.net/c_310_420/pictures/17/06/26/15/36/527507.jpg,5 juillet 2017,en salle,"Aventure,Comédie",Tout public,"Alors que Gru, totalement déprimé par sa mise à pied, tente de trouver une nouvelle voie, un mystérieux individu se présente pour l’informer du décès de son père. Dans la foulée, il lui annonce l’existence d’un frère jumeau prénommé Dru qui a exprimé le désir d’une rencontre. Ébranlé par la nouvelle, Gru interroge sa mère qui avoue son secret: après avoir donné naissance à des jumeaux, elle a divorcé en faisant la promesse à son ex-mari de disparaître totalement de sa vie en échange d’un des enfants. Tout en précisant, en substance, qu’elle n’a pas eu son mot à dire et que Gru n’est somme toute qu’un second choix. Si Gru, tout d’abord enthousiasmé à l’idée d’avoir un frère, se rend avec Lucy et les filles dans son île natale, Freedonia, pour rencontrer son jumeau, il déchante vite quand il découvre que Dru est nettement supérieur à lui, et ce en tout point. Là où Gru est un misanthrope aussi dépourvu d’emploi que de cheveux, Dru arbore une masse capillaire impressionnante, un charisme naturel et une fortune colossale héritée de son père et de son élevage de cochons. Gru est rapidement miné par un sentiment d’infériorité, quand Dru lui révèle sa faille: leur père n’a jamais vu en lui l’étoffe d’un méchant, et de ce fait ne l’a pas formé dans cette direction qui est pourtant la marque de fabrique de la famille. Avec son aide, ils pourraient à eux deux perpétuer la tradition familiale.,Gru se sent alors investi d’un rôle de «grand frère» et lui livre les secrets de l’utilisation des gadgets ultra-sophistiqués de leur père avec l’intention d’en profiter pour mettre hors d’état de nuire l’insaisissable Balthazar Bratt. Mais cette alliance se voit sérieusement menacée par un cas aggravé de rivalité gémellaire qui va vite les dépasser et les handicaper face à un ennemi à l’envergure encore inégalée.","Kyle Balda,Pierre Coffin,Eric Guillon","Cinco Paul,Ken Daurio","Gad Elmaleh,Steve Carell,Audrey Lamy","2,8","3,4",U.S.A.,Universal Pictures International France,2 nominations,2017,Long métrage,Anglais,5 637 548 entrées
Pentagon Papers,https://fr.web.img4.acsta.net/c_310_420/pictures/17/12/21/14/59/4821419.jpg,24 janvier 2018,en salle,"Drame,Thriller",Tout public,"Première femme directrice de la publication d’un grand journal américain, le Washington Post, Katharine Graham s'associe à son rédacteur en chef Ben Bradlee pour dévoiler un scandale d'État monumental et combler son retard par rapport au New York Times qui mène ses propres investigations. Ces révélations concernent les manœuvres de quatre présidents américains, sur une trentaine d'années, destinées à étouffer des affaires très sensibles… Au péril de leur carrière et de leur liberté, Katharine et Ben vont devoir surmonter tout ce qui les sépare pour révéler au grand jour des secrets longtemps enfouis…",Steven Spielberg,"Liz Hannah,Josh Singer","Meryl Streep,Tom Hanks,Sarah Paulson","4,2","3,9",U.S.A.,Universal Pictures International France,9 nominations,2017,Long métrage,Anglais,1 314 502 entrées
En eaux troubles,https://fr.web.img6.acsta.net/c_310_420/pictures/18/07/12/17/23/0011138.jpg,22 août 2018,en salle,"Action,Thriller",Tout public,"Au cœur de l’océan Pacifique, le sous-marin d’une équipe de chercheurs a été attaqué par une créature gigantesque qu’on croyait disparue : le Megalodon, un requin préhistorique de 23 mètres de long.,Le sauveteur-plongeur Jonas Taylor doit risquer sa vie pour sauver les hommes et les femmes prisonniers de l'embarcation… et affronter le prédateur le plus terrible de tous les temps.",Jon Turteltaub,"Dean Georgaris,Jon Hoeber","Jason Statham,Bingbing Li,Rainn Wilson","2,3","2,5",U.S.A.,Warner Bros. France,1 nomination,2018,Long métrage,Anglais,1 622 161 entrées
Margin Call,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/82/76/31/19860753.jpg,2 mai 2012,en salle,"Drame,Thriller",Tout public,"Pour survivre à Wall Street, sois le premier, le meilleur ou triche. La dernière nuit d’une équipe de traders, avant le crash. Pour sauver leur peau, un seul moyen : ruiner les autres…",J.C. Chandor,J.C. Chandor,"Kevin Spacey,Paul Bettany,Jeremy Irons","4,0","3,8",U.S.A.,ARP Sélection,3 prix et 17 nominations,2011,Long métrage,Anglais,344 960 entrées
Jeune & Jolie,https://fr.web.img2.acsta.net/c_310_420/pictures/210/059/21005923_2013051510325393.jpg,21 août 2013,en salle,Drame,Interdit - 12 ans,Le portrait d’une jeune fille de 17 ans en 4 saisons et 4 chansons.,François Ozon,François Ozon,"Marine Vacth,Géraldine Pailhas,Frédéric Pierrot","3,7","3,3",France,Mars Films,5 nominations,2013,Long métrage,Français,712 767 entrées
La Planète des singes : les origines,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/84/60/29/19765980.jpg,10 août 2011,en salle,"Action,Aventure,Science Fiction",Tout public,"Dans un laboratoire, des scientifiques expérimentent un traitement sur des singes pour vaincre la maladie d’Alzheimer. Mais leurs essais ont des effets secondaires inattendus : ils découvrent que la substance utilisée permet d’augmenter radicalement l’activité cérébrale de leurs sujets. César, est alors le premier jeune chimpanzé faisant preuve d’une intelligence remarquable. Mais trahi par les humains qui l’entourent et en qui il avait confiance, il va mener le soulèvement de  toute son espèce contre l’Homme dans un combat spectaculaire.",Rupert Wyatt,"Rick Jaffa,Amanda Silver","James Franco,Freida Pinto,John Lithgow","3,3","4,1",U.S.A.,Twentieth Century Fox France,3 prix et 4 nominations,2011,Long métrage,Anglais,3 240 118 entrées
Rocketman,https://fr.web.img6.acsta.net/c_310_420/pictures/19/02/19/14/09/3570616.jpg,29 mai 2019,en salle,"Biopic,Comédie musicale",Tout public,"Rocketman nous raconte la vie hors du commun d’Elton John, depuis ses premiers succès jusqu’à sa consécration internationale.,Le film retrace la métamorphose de Reginald Dwight, un jeune pianiste prodige timide, en une superstar mondiale. Il est aujourd’hui connu sous le nom d’Elton John.,Son histoire inspirante – sur fond des plus belles chansons de la star – nous fait vivre l’incroyable succès d’un enfant d’une petite ville de province devenu icône de la pop culture mondiale.",Dexter Fletcher,Lee Hall,"Taron Egerton,Jamie Bell,Richard Madden","3,4","4,0",Grande-Bretagne,Paramount Pictures France,3 prix et 7 nominations,2019,Long métrage,Anglais,744 358 entrées
Radiostars,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/85/39/18/20031934.jpg,11 avril 2012,en salle,Comédie,Tout public,"En plein échec professionnel et sentimental, Ben, qui se rêvait comique à New York, est de retour à Paris. Il rencontre Alex, présentateur-vedette du Breakfast-club, le Morning star de la radio. Avec Cyril, un quadra mal assumé, et Arnold, le leader charismatique de la bande, ils font la pluie et le beau temps sur Blast FM. Très vite Ben est engagé : Il écrira pour eux. Alors qu’il a à peine rejoint l’équipe, un raz de marée frappe de plein fouet la station : l’audience du breakfast est en chute libre. C’est en bus qu’ils sillonneront les routes de France pour rencontrer et reconquérir leur public. Pour ces Parisiens arrogants, de ce road trip radiophonique naîtra un véritable parcours initiatique qui bousculera leurs certitudes.",Romain Lévy,"Romain Lévy,Mathieu Oullion","Manu Payet,Clovis Cornillac,Douglas Attal","3,6","3,4",France,Mars Films,2 prix et 1 nomination,2012,Long métrage,Français,560 731 entrées
Tangerine,https://fr.web.img2.acsta.net/c_310_420/pictures/15/12/11/15/41/573869.jpg,30 décembre 2015,en salle,"Comédie,Drame",Tout public,24 heures dans la vie d’une drôle de Cendrillon qui traverse la cité des anges à la recherche de sa rivale.,Sean Baker,"Sean Baker,Chris Bergoch","Kitana Kiki Rodriguez,Mya Taylor,Mickey O'Hagan","3,6","3,6",U.S.A.,Le Pacte / ARP Sélection,2 prix et 3 nominations,2015,Long métrage,24/07/2024,13 543 entrées
Le Monde de Charlie,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/93/52/64/20261429.jpg,2 janvier 2013,en salle,"Comédie dramatique,Romance",Tout public,"Au lycée où il vient d’arriver, on trouve Charlie bizarre. Sa sensibilité et ses goûts sont en décalage avec ceux de ses camarades de classe. Pour son prof de Lettres, c’est sans doute un prodige, pour les autres, c’est juste un ""loser"". En attendant, il reste en marge - jusqu’au jour où deux terminales, Patrick et la jolie Sam, le prennent sous leur aile. Grâce à eux, il va découvrir la musique, les fêtes, le sexe… pour Charlie, un nouveau monde s’offre à lui.",Stephen Chbosky,Stephen Chbosky,"Logan Lerman,Emma Watson,Ezra Miller","3,3","4,1",U.S.A.,SND,2 nominations,2012,Long métrage,Anglais,84 660 entrées
Cinquante Nuances plus claires,https://fr.web.img5.acsta.net/c_310_420/pictures/17/11/10/14/42/5562197.jpg,7 février 2018,en salle,"Drame,Erotique,Romance",Interdit - 12 ans,"Pensant avoir laissé derrière eux les ombres du passé, les jeunes mariés Christian et Ana profitent pleinement de leur relation tortueuse et partagent une vie de luxe. Mais alors qu’Anastasia commence tout juste à s’adapter à son nouveau rôle de Madame Grey et que Christian s’ouvre finalement à elle, de nouvelles menaces viennent mettre en péril leur vie commune avant même qu’elle n’ait débuté.",James Foley,Niall Leonard,"Dakota Johnson,Jamie Dornan,Eric Johnson","2,1","2,5",U.S.A.,Universal Pictures International France,1 prix et 2 nominations,2018,Long métrage,Anglais,2 759 444 entrées
Doctor Strange,https://fr.web.img6.acsta.net/c_310_420/pictures/16/09/09/08/57/518191.jpg,26 octobre 2016,en salle,"Aventure,Fantastique",Tout public,"Doctor Strange suit l'histoire du Docteur Stephen Strange, talentueux neurochirurgien qui, après un tragique accident de voiture, doit mettre son égo de côté et apprendre les secrets d'un monde caché de mysticisme et de dimensions alternatives. Basé à New York, dans le quartier de Greenwich Village, Doctor Strange doit jouer les intermédiaires entre le monde réel et ce qui se trouve au-delà, en utlisant un vaste éventail d'aptitudes métaphysiques et d'artefacts pour protéger le Marvel Cinematic Universe.",Scott Derrickson,"Jon Spaihts,Thomas Dean Donnelly","Benedict Cumberbatch,Chiwetel Ejiofor,Tilda Swinton","3,1","3,9",U.S.A.,The Walt Disney Company France,4 nominations,2016,Long métrage,Anglais,1 919 955 entrées
The Green Hornet,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/79/96/71/19603577.jpg,12 janvier 2011,en salle,"Action,Comédie",Tout public,"Le directeur du journal Daily Sentinel se transforme la nuit en super-héros connu sous le nom de Frelon Vert. Il est secondé par Kato, l'expert en arts martiaux.",Michel Gondry,"Seth Rogen,Evan Goldberg","Seth Rogen,Cameron Diaz,Jay Chou","3,5","2,9",U.S.A.,Sony Pictures Releasing France,3 nominations,2011,Long métrage,Le Frelon vert,731 210 entrées
Rambo: Last Blood,https://fr.web.img3.acsta.net/c_310_420/pictures/19/09/12/15/49/2773883.jpg,25 septembre 2019,en salle,Action,Interdit - 12 ans avec avertissement,"Cinquième épisode de la saga Rambo.,Vétéran de la Guerre du Vietnam, John Rambo va devoir affronter un cartel mexicain.",Adrian Grunberg,"Matt Cirulnick,Sylvester Stallone","Sylvester Stallone,Yvette Monreal,Adriana Barraza","2,1","3,3",U.S.A.,Metropolitan FilmExport,7 nominations,2019,Long métrage,Anglais,598 353 entrées
Jason Bourne,https://fr.web.img2.acsta.net/c_310_420/pictures/16/06/21/09/42/573260.jpg,10 août 2016,en salle,"Action,Thriller",Tout public,La traque de Jason Bourne par les services secrets américains se poursuit. Des îles Canaries à Londres en passant par Las Vegas...,Paul Greengrass,"Paul Greengrass,Christopher Rouse","Matt Damon,Tommy Lee Jones,Alicia Vikander","3,2","3,4",U.S.A.,Universal Pictures International France,1 nomination,2016,Long métrage,Anglais,1 465 933 entrées
Mud - Sur les rives du Mississippi,https://fr.web.img6.acsta.net/c_310_420/pictures/210/002/21000219_20130419193021705.jpg,1 mai 2013,en salle,Drame,Tout public,"Ellis et Neckbone, 14 ans, découvrent lors d’une de leurs escapades quotidiennes, un homme réfugié sur une île au milieu du Mississipi. C’est Mud : un serpent tatoué sur le bras, un flingue et une chemise porte-bonheur. Mud, c’est aussi un homme qui croit en l’amour, une croyance à laquelle Ellis a désespérément besoin de se raccrocher pour tenter d’oublier les tensions quotidiennes entre ses parents. Très vite, Mud met les deux adolescents à contribution pour réparer un bateau qui lui permettra de quitter l’île. Difficile cependant pour les garçons de déceler le vrai du faux dans les paroles de Mud. A-t-il vraiment tué un homme, est-il poursuivi par la justice, par des chasseurs de primes ? Et qui est donc cette fille mystérieuse qui vient de débarquer dans leur petite ville de l’Arkansas ?",Jeff Nichols,Jeff Nichols,"Matthew McConaughey,Reese Witherspoon,Tye Sheridan","4,1","4,1",U.S.A.,Ad Vitam,1 prix et 3 nominations,2012,Long métrage,Anglais,640 050 entrées
Arrietty le petit monde des chapardeurs,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/82/01/13/19597854.jpg,12 janvier 2011,en salle,"Aventure,Animation,Famille,Fantastique",Tout public,"Dans la banlieue de Tokyo, sous le plancher d’une vieille maison perdue au cœur d’un grand jardin, la minuscule Arrietty vit en secret avec sa famille. Ce sont des Chapardeurs. Arrietty connaît les règles : on n’emprunte que ce dont on a besoin, en si petite quantité que les habitants de la maison ne s’en aperçoivent pas. Plus important encore, on se méfie du chat, des rats, et interdiction absolue d’être vus par les humains sous peine d’être obligés de déménager. Arrietty sait tout cela. Pourtant, lorsqu’un jeune garçon, Sho, arrive à la maison pour se reposer avant une grave opération, elle sent que tout sera différent. Entre la jeune fille et celui qu’elle voit comme un géant, se noue une amitié que personne ne pourra oublier…",Hiromasa Yonebayashi,"Hayao Miyazaki,Keiko Niwa","Moises Arias,Bridgit Mendler,David Henrie","3,7","4,1",Japon,The Walt Disney Company France,2 nominations,2010,Long métrage,"Anglais, Japonais",805 600 entrées
Victoria,https://fr.web.img5.acsta.net/c_310_420/pictures/16/07/28/11/56/545138.jpg,14 septembre 2016,en salle,Comédie dramatique,Tout public,"Victoria Spick, avocate pénaliste en plein néant sentimental, débarque à un mariage où elle y retrouve son ami Vincent et Sam, un ex-dealer qu’elle a sorti d’affaire. Le lendemain, Vincent est accusé de tentative de meurtre par sa compagne. Seul témoin de la scène, le chien de la victime.,Victoria accepte à contrecœur de défendre Vincent tandis qu'elle embauche Sam comme jeune homme au pair. Le début d’une série de cataclysmes pour Victoria.",Justine Triet,Justine Triet,"Virginie Efira,Vincent Lacoste,Melvil Poupaud","4,0","3,0",France,Le Pacte,10 nominations,2016,Long métrage,Français,640 989 entrées
Je voudrais que quelqu'un m'attende quelque part,https://fr.web.img6.acsta.net/c_310_420/pictures/19/08/20/09/58/4337141.jpg,22 janvier 2020,en salle,"Drame,Romance",Tout public,"Dans la belle maison familiale, à la fin de l’été, Aurore fête ses 70 ans, entourée de ses 4 enfants, tous venus pour l’occasion. Il y a là Jean-Pierre, l’aîné, qui a endossé le rôle de chef de famille après la mort de son père ; Juliette, enceinte de son premier enfant à 40 ans et qui rêve encore de devenir écrivain ; Margaux, l’artiste radicale de la famille, et Mathieu, 30 ans, angoissé de séduire la jolie Sarah.,Plus tard, un jour, l’un d’eux va prendre une décision qui changera leur vie…",Arnaud Viard,Arnaud Viard,"Jean-Paul Rouve,Alice Taglioni,Benjamin Lavernhe","2,9","3,0",France,UGC Distribution,1 nomination,2018,Long métrage,Français,450 867 entrées
Énorme,https://fr.web.img4.acsta.net/c_310_420/pictures/20/07/02/15/04/2650220.jpg,2 septembre 2020,en salle,Comédie,Tout public,"Ça lui prend d’un coup à 40 ans : Frédéric veut un bébé, Claire elle n’en a jamais voulu et ils étaient bien d’accord là-dessus. Il commet l’impardonnable et lui fait un enfant dans le dos. Claire se transforme en baleine et Frédéric devient gnangnan.",Sophie Letourneur,"Sophie Letourneur,Mathias Gavarry","Marina Foïs,Jonathan Cohen,Jacqueline Kakou","3,7","2,2",France,Memento,2 nominations,2019,Long métrage,Français,132 783 entrées
Hunger Games - L'embrasement,https://fr.web.img6.acsta.net/c_310_420/pictures/210/453/21045319_2013101714250983.jpg,27 novembre 2013,en salle,"Action,Drame,Science Fiction",Tout public,"Katniss Everdeen est rentrée chez elle saine et sauve après avoir remporté la 74e édition des Hunger Games avec son partenaire Peeta Mellark.,Puisqu’ils ont gagné, ils sont obligés de laisser une fois de plus leur famille et leurs amis pour partir faire la Tournée de la victoire dans tous les districts. Au fil de son voyage, Katniss sent que la révolte gronde, mais le Capitole exerce toujours un contrôle absolu sur les districts tandis que le Président Snow prépare la 75e édition des Hunger Games, les Jeux de l’Expiation – une compétition qui pourrait changer Panem à jamais…",Francis Lawrence,"Simon Beaufoy,Michael Arndt","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth","3,6","3,9",U.S.A.,Metropolitan FilmExport,1 nomination,2013,Long métrage,Anglais,3 140 889 entrées
I Feel Good,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/15/09/38/2883759.jpg,26 septembre 2018,en salle,Comédie,Tout public,"Monique dirige une communauté Emmaüs près de Pau. Après plusieurs années d’absence, elle voit débarquer son frère, Jacques, un bon à rien qui n’a qu’une obsession : trouver l’idée qui le rendra riche. Plus que des retrouvailles familiales, ce sont deux visions du monde qui s’affrontent.","Benoît Delépine,Gustave Kervern","Benoît Delépine,Gustave Kervern","Jean Dujardin,Yolande Moreau,Joseph Dahan","3,6","2,7",France,Ad Vitam,2 nominations,2017,Long métrage,Français,527 324 entrées
Carbone,https://fr.web.img5.acsta.net/c_310_420/pictures/17/10/05/14/35/2625078.jpg,1 novembre 2017,en salle,Policier,Tout public,"Menacé de perdre son entreprise, Antoine Roca, un homme ordinaire, met au point une arnaque qui deviendra le casse du siècle. Rattrapé par le grand banditisme, il lui faudra faire face aux trahisons, meurtres et règlements de compte.",Olivier Marchal,"Emmanuel Naccache,Olivier Marchal","Benoît Magimel, Gringe,Idir Chender","3,1","3,6",France,EuropaCorp Distribution,1 nomination,2017,Long métrage,Français,711 129 entrées
Champions,https://fr.web.img3.acsta.net/c_310_420/pictures/18/04/30/10/20/5882007.jpg,6 juin 2018,en salle,"Comédie,Drame",Tout public,"Marco occupe le prestigieux poste d’entraîneur-adjoint de l'équipe d'Espagne de basket. Mais son mauvais caractère lui pose problème. Après une série de déconvenues dont il est le seul responsable, Marco se retrouve à devoir coacher une équipe de déficients mentaux.",Javier Fesser,"David Marqués,Javier Fesser","Javier Gutiérrez,Alberto Nieto Fernández,Daniel Freire","3,2","3,8",Espagne,Le Pacte,4 prix et 5 nominations,2018,Long métrage,Espagnol,99 546 entrées
Des hommes et des dieux,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/77/69/73/19476857.jpg,8 septembre 2010,en salle,Drame,Tout public,"Un monastère perché dans les montagnes du Maghreb, dans les années 1990. Huit moines chrétiens français vivent en harmonie avec leurs frères musulmans. Quand une équipe de travailleurs étrangers est massacrée par un groupe islamiste, la terreur s’installe dans la région. L'armée propose une protection aux moines, mais ceux-ci refusent. Doivent-ils partir ? Malgré les menaces grandissantes qui les entourent, la décision des moines de rester coûte que coûte, se concrétise jour après jour…,Ce film s’inspire librement de la vie des Moines Cisterciens de Tibhirine en Algérie de 1993 jusqu’à leur enlèvement en 1996.",Xavier Beauvois,"Xavier Beauvois,Etienne Comar","Lambert Wilson,Michael Lonsdale,Olivier Rabourdin","4,1","3,4",France,Mars Films,7 prix et 19 nominations,2010,Long métrage,"ARABIC, Français",3 204 170 entrées
Rebelle,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/84/94/35/20186089.jpg,1 août 2012,en salle,"Aventure,Animation,Comédie",Tout public,"Depuis la nuit des temps, au cœur des terres sauvages et mystérieuses des Highlands d’Ecosse, récits de batailles épiques et légendes mythiques se transmettent de génération en génération. Merida, l’impétueuse fille du roi Fergus et de la reine Elinor, a un problème… Elle est la seule fille au monde à ne pas vouloir devenir princesse ! Maniant l’arc comme personne, Merida refuse de se plier aux règles de la cour et défie une tradition millénaire sacrée aux yeux de tous et particulièrement de sa mère. Dans sa quête de liberté, Merida va involontairement voir se réaliser un vœu bien malheureux et précipiter le royaume dans le chaos. Sa détermination va lui être cruciale pour déjouer cette terrible malédiction.","Mark Andrews,Brenda Chapman,Steve Purcell","Mark Andrews,Steve Purcell","Bérénice Bejo,Kelly Macdonald,Jacques Frantz","3,5","3,8",U.S.A.,The Walt Disney Company France,2 prix et 3 nominations,2012,Long métrage,Anglais,3 070 740 entrées
Battleship,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/74/29/79/20066543.jpg,11 avril 2012,en salle,"Action,Science Fiction,Thriller",Tout public,"Océan Pacifique… Au large d’Hawaï, l’US Navy déploie toute sa puissance. Mais bientôt, une forme étrange et menaçante émerge à la surface des eaux, suivie par des dizaines d’autres dotées d’une puissance de destruction inimaginable.,Qui sont-ils ? Que faisaient-ils, cachés depuis si longtemps au fond de l’océan ?,A bord de l’USS John Paul Jones, le jeune officier Hopper, l’Amiral Shane, le sous-officier Raikes vont découvrir que l’océan n’est pas toujours aussi pacifique qu’il y paraît.,La bataille pour sauver notre planète débute en mer.",Peter Berg,"Erich Hoeber,Jon Hoeber","Taylor Kitsch, Rihanna,Liam Neeson","2,3","2,5",U.S.A.,Universal Pictures International France,1 prix et 6 nominations,2012,Long métrage,Anglais,1 063 484 entrées
Star Wars - Les Derniers Jedi,https://fr.web.img4.acsta.net/c_310_420/pictures/17/10/10/04/58/2061488.jpg,13 décembre 2017,en salle,"Action,Science Fiction",Tout public,Les héros du Réveil de la force rejoignent les figures légendaires de la galaxie dans une aventure épique qui révèle des secrets ancestraux sur la Force et entraîne de surprenantes révélations sur le passé…,Rian Johnson,Rian Johnson,"Daisy Ridley,John Boyega,Oscar Isaac","3,6","3,0",U.S.A.,The Walt Disney Company France,4 nominations,2017,Long métrage,Anglais,7 076 549 entrées
Dallas Buyers Club,https://fr.web.img6.acsta.net/c_310_420/pictures/14/01/24/12/09/007448.jpg,29 janvier 2014,en salle,"Biopic,Drame",Tout public,"1986, Dallas, Texas, une histoire vraie. Ron Woodroof a 35 ans, des bottes, un Stetson, c’est un cow-boy, un vrai. Sa vie : sexe, drogue et rodéo. Tout bascule quand, diagnostiqué séropositif, il lui reste 30 jours à vivre. Révolté par l’impuissance du corps médical, il recourt à des traitements alternatifs non officiels. Au fil du temps, il rassemble d’autres malades en quête de guérison : le Dallas Buyers Club est né. Mais son succès gêne, Ron doit s’engager dans une bataille contre les laboratoires et les autorités fédérales. C’est son combat pour une nouvelle cause… et pour sa propre vie.",Jean-Marc Vallée,"Craig Borten,Melisa Wallack","Matthew McConaughey,Jennifer Garner,Jared Leto","3,9","4,3",U.S.A.,UGC Distribution,10 prix et 7 nominations,2013,Long métrage,"Anglais, Japonais",372 019 entrées
