title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
Le Vent de la liberté,https://fr.web.img5.acsta.net/c_310_420/pictures/18/11/19/16/42/2120327.jpg,10 avril 2019,en salle,"Historique,Thriller",Tout public,"1979. En pleine guerre froide, deux familles ordinaires d’Allemagne de l’Est rêvent de passer à l’Ouest.,Leur plan : construire une montgolfière et survoler la frontière.,Une histoire incroyable. Une histoire vraie.",Michael Bully Herbig,"Michael Bully Herbig,Thilo Röscheisen","Friedrich Mücke,Karoline Schuch,David Kross","3,5","4,1",Allemagne,ARP Sélection,# prix,2018,Long métrage,Allemand,149 646 entrées
Don Jon,https://fr.web.img6.acsta.net/c_310_420/pictures/210/587/21058781_20131118171447215.jpg,25 décembre 2013,en salle,"Comédie,Drame,Romance",Interdit - 12 ans,"Jon Martello est un beau mec que ses amis ont surnommé Don Jon en raison de son talent à séduire une nouvelle fille chaque week-end. Mais pour lui, même les rencontres les plus excitantes ne valent pas les moments solitaires qu’il passe devant son ordinateur à regarder des films pornographiques. Barbara Sugarman est une jeune femme lumineuse, nourrie aux comédies romantiques hollywoodiennes, bien décidée à trouver son Prince Charmant. Leur rencontre est un choc, une explosion dans la vie de chacun. Bourrés d’illusions et d’idées reçues sur le sexe opposé, Jon et Barbara vont devoir laisser tomber leurs fantasmes s’ils veulent avoir une chance de vivre enfin une vraie relation…,",Joseph Gordon-Levitt,Joseph Gordon-Levitt,"Joseph Gordon-Levitt,Scarlett Johansson,Julianne Moore","2,8","2,6",U.S.A.,Mars Films,3 nominations,2013,Long métrage,Anglais,258 793 entrées
Buried,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/72/18/31/19535837.jpg,3 novembre 2010,en salle,Thriller,Tout public,"Ouvrez les yeux. Vous êtes dans un espace clos, sous 1 tonne de terre irakienne avec 90 minutes d’oxygène et pour seule connexion vers l’extérieur un téléphone portable à moitié rechargé. Tel est le destin de Paul, entrepreneur Américain pris en otage et enfermé dans une boîte. Le temps file et chaque seconde qui passe le rapproche d’une mort certaine…",Rodrigo Cortés,Chris Sparling,"Ryan Reynolds,Robert Paterson,José Luis García Pérez","3,6","3,4",Espagne,Rezo Films,4 prix et 10 nominations,2010,Long métrage,Anglais,226 854 entrées
"Albator, Corsaire de l'Espace",https://fr.web.img6.acsta.net/c_310_420/pictures/210/459/21045968_20131002122115037.jpg,25 décembre 2013,en salle,"Aventure,Animation,Science Fiction",Tout public,"2977. Albator, capitaine du vaisseau Arcadia, est un corsaire de l’espace. Il est condamné à mort, mais reste insaisissable.  Le jeune Yama, envoyé pour l’assassiner, s’infiltre dans l’Arcadia, alors qu’Albator décide d’entrer en guerre contre la Coalition Gaia afin de défendre sa planète d’origine, la Terre.",Shinji Aramaki,"Harutoshi Fukui,Kiyoto Takeuchi","Shun Oguri,Haruma Miura,Yû Aoi","2,5","3,4",Japon,Océan Films,2 nominations,2013,Long métrage,Japonais,724 973 entrées
"Connasse, Princesse des coeurs",https://fr.web.img2.acsta.net/c_310_420/pictures/15/03/27/17/41/397394.jpg,29 avril 2015,en salle,Comédie,Tout public,"Camilla, 30 ans, estime qu'elle mérite mieux que sa vie actuelle. Pourquoi devrait-elle travailler ? Partager le sort du commun ? Un seul statut lui revient de droit : celui de princesse. Elle en est là de ses réflexions quand elle croise par hasard dans la rue Stéphane Bern, le spécialiste des têtes couronnées. Suivant ses conseils, elle se rend à Londres, décidée à séduire le prince Harry. Sur place, elle fait ce qu'elle sait faire de mieux : étaler en public son incommensurable complexe de supériorité, et accessoirement provoquer le scandale à Buckingham Palace. Camille Cottin reprend son rôle de ""connasse"" de la série en caméra cachée qui l'a rendue insupportable à tous les Parisiens.","Eloïse Lang,Noémie Saglio","Noémie Saglio,Eloïse Lang","Camille Cottin,Cécile Boland","3,3","2,7",France,Gaumont Distribution,1 nomination,2014,Long métrage,Français,1 194 678 entrées
Une vie de chat,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/78/79/19510694.jpg,15 décembre 2010,en salle,"Animation,Policier",Tout public,"Dino est un chat qui partage sa vie entre deux maisons. Le jour, il vit avec Zoé, la fillette d’une commissaire de police. La nuit, il escalade les toits de Paris en compagnie de Nico, un cambrioleur d’une grande habileté. Jeanne, la commissaire de police, est sur les dents. Elle doit à la fois arrêter l’auteur de nombreux vols de bijoux, et s’occuper de la surveillance du Colosse de Nairobi, une statue géante convoitée par Costa, le criminel responsable de la mort de son mari policier. Depuis ce drame, la fillette ne dit plus un mot. Les événements vont se précipiter la nuit où Zoé surprend Costa et sa bande. Une poursuite s’engage, qui durera jusqu’au matin, et qui verra tous les personnages se croiser, s’entraider ou se combattre, jusque sur les toits de Notre-Dame…","Alain Gagnol,Jean-Loup Felicioli",Alain Gagnol,"Dominique Blanc,Bruno Salomone,Jean Benguigui","3,6","3,8",France,Folimage Studio,13 nominations,2010,Long métrage,Français,409 205 entrées
"Moi, Tonya",https://fr.web.img2.acsta.net/c_310_420/pictures/18/01/31/14/48/2935253.jpg,21 février 2018,en salle,"Biopic,Comédie,Drame",Tout public,"En 1994, le milieu sportif est bouleversé en apprenant que Nancy Kerrigan, jeune patineuse artistique promise à un brillant avenir, est sauvagement attaquée. Plus choquant encore, la championne Tonya Harding et ses proches sont soupçonnés d'avoir planifié et mis à exécution l'agression…",Craig Gillespie,Steven Rogers,"Margot Robbie,Allison Janney,Sebastian Stan","3,5","4,0",U.S.A.,Mars Films,4 prix et 11 nominations,2017,Long métrage,Anglais,148 151 entrées
Iron Man 2,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/70/45/28/19408942.jpg,28 avril 2010,en salle,"Action,Aventure,Science Fiction",Tout public,"Le monde sait désormais que l'inventeur milliardaire Tony Stark et le super-héros Iron Man ne font qu'un. Malgré la pression du gouvernement, de la presse et du public pour qu'il partage sa technologie avec l'armée, Tony n'est pas disposé à divulguer les secrets de son armure, redoutant que l'information atterrisse dans de mauvaises mains. Avec Pepper Potts et James ""Rhodey"" Rhodes à ses côtés, Tony va forger de nouvelles alliances et affronter de nouvelles forces toutes-puissantes...",Jon Favreau,Justin Theroux,"Robert Downey Jr.,Don Cheadle,Scarlett Johansson","3,1","3,4",U.S.A.,Paramount Pictures France,6 nominations,2010,Long métrage,"Anglais, Français, Russe",2 559 297 entrées
All Is Lost,https://fr.web.img6.acsta.net/c_310_420/pictures/205/419/20541978_20131010174200124.jpg,11 décembre 2013,en salle,"Aventure,Drame",Tout public,"Au cours d'un voyage en solitaire à travers l'Océan Indien, un homme découvre à son réveil que la coque de son voilier de 12 mètres a été percée lors d'une collision avec un container flottant à la dérive. Privé de sa radio et de son matériel de navigation, l'homme se laisse prendre dans une violente tempête. Malgré ses réparations, son génie marin et une force physique défiant les années, il y survit de justesse. Avec un simple sextant et quelques cartes marines pour établir sa position, il doit s'en remettre aux courants pour espérer se rapprocher d'une voie de navigation et héler un navire de passage. Mais le soleil implacable, la menace des requins et l'épuisement de ses maigres réserves forcent ce marin forcené à regarder la mort en face.",J.C. Chandor,J.C. Chandor,Robert Redford,"3,9","3,3",U.S.A.,Universal Pictures International France,2 prix et 8 nominations,2013,Long métrage,Anglais,72 883 entrées
Les Kaïra,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/86/72/77/20123623.jpg,11 juillet 2012,en salle,Comédie,Tout public,"Mousten, Abdelkrim et Momo sont trois potes d’enfance qui ont toujours vécu dans leur cité de Melun. Casquettes enfoncées sur la tête et baskets aux pieds, tous les trois ont le même problème : désespérément célibataires, ils passent leurs journées à laisser s’écouler leurs vies, sans motivation ni ambition. Jusqu’au jour où ils découvrent une annonce dans un magazine porno qui propose un casting pour devenir une « Star du X ». En galère de filles et d’argent, la quête de ce qui leur semble être alors le meilleur métier du monde va se transformer en un parcours initiatique et devenir la plus importante aventure de leurs vies.",Franck Gastambide,Franck Gastambide,"Medi Sadoun,Franck Gastambide,Jib Pocthier","3,3","2,3",France,Gaumont Distribution,2 nominations,2012,Long métrage,Français,1 016 184 entrées
Savages,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/89/96/96/20184017.jpg,26 septembre 2012,en salle,"Drame,Thriller",Interdit - 12 ans,"Laguna Beach, Californie : Ben, botaniste bohème, Chon, ancien Navy Seal, et la belle O partagent tout. Ben et Chon sont à la tête d’un business florissant. Les graines ramenées par Chon de ses missions et le génie de Ben ont donné naissance au meilleur cannabis qui soit. Même s’il est officiellement produit pour des raisons thérapeutiques, ils en dealent partout avec la complicité de Dennis, un agent des stups. Leur affaire marche tellement bien qu’elle attire l’attention du cartel mexicain de Baja, dirigé d’une main de fer par Elena. Face à leur proposition d’""association"", Chon est partisan de résister par la force, mais Ben préfère tout abandonner. Pour les contraindre à coopérer, le cartel kidnappe O. Elena a eu raison d’utiliser les liens très forts du trio, mais elle a aussi sous-estimé leur capacité à réagir… C’est le début d’une guerre entre l’organisation du crime dont le bras armé, Lado, ne fait aucun cadeau et le trio. Qu’il s’agisse de pouvoir, d’innocence, ou de la vie de ceux qu’ils aiment, tout le monde a quelque chose à perdre.",Oliver Stone,"Shane Salerno,Don Winslow","Taylor Kitsch,Aaron Taylor-Johnson,Blake Lively","3,0","3,4",U.S.A.,Pathé Films,4 nominations,2012,Long métrage,Anglais,499 132 entrées
