title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
Dans la maison,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/91/17/25/20133111.jpg,10 octobre 2012,en salle,Thriller,Tout public,"Un garçon de 16 ans s'immisce dans la maison d'un élève de sa classe, et en fait le récit dans ses rédactions à son professeur de français. Ce dernier, face à cet élève doué et différent, reprend goût à l'enseignement, mais cette intrusion va déclencher une série d'événements incontrôlables.",François Ozon,François Ozon,"Fabrice Luchini,Ernst Umhauer,Kristin Scott Thomas","3,5","3,7",France,Mars Films,4 prix et 14 nominations,2012,Long métrage,"
            Français",1 195 518 entrées
It Follows,https://fr.web.img4.acsta.net/c_310_420/pictures/14/12/08/15/41/424397.jpg,4 février 2015,en salle,Epouvante-horreur,Interdit - 12 ans,"Dans une banlieue pavillonnaire de Detroit, Jay, étudiante insouciante d’une vingtaine d’années, se rend au cinéma avec Hugh, un garçon de son âge qu’elle a commencé à fréquenter. Mais ce dernier écourte la séance, pris de panique devant une étrange vision. Lors d’un second rendez-vous au bord du lac, les deux jeunes gens font l’amour pour la première fois. À la fin de leurs ébats, Hugh endort sa partenaire avec du chloroforme... Quand Jay reprend conscience, elle est attachée dans un fauteuil roulant. Face à elle, un Hugh apeuré lui explique qu’une ""chose"", qui se présentera sous différentes formes, connues ou inconnues, la suit désormais dans le but de la tuer. Si elle parvient à ses fins, la malédiction s’abattra alors sur la personne qui la lui a transmise. Pour s’en libérer, Jay n’a qu’une solution : coucher avec quelqu’un d’autre, qui deviendra cible à sa place…",David Robert Mitchell,David Robert Mitchell,"Maika Monroe,Keir Gilchrist,Daniel Zovatto","4,4","3,5",U.S.A.,Metropolitan FilmExport,2 prix et 4 nominations,2014,Long métrage,"
            Anglais",129 953 entrées
Yves Saint-Laurent,https://fr.web.img2.acsta.net/c_310_420/pictures/13/12/03/12/25/245119.jpg,8 janvier 2014,en salle,"Biopic,Drame",Tout public,"Paris, 1957. A tout juste 21 ans, Yves Saint Laurent est appelé à prendre en main les destinées de la prestigieuse maison de haute couture fondée par Christian Dior, récemment décédé. Lors de son premier défilé triomphal, il fait la connaissance de Pierre Bergé, rencontre qui va bouleverser sa vie. Amants et partenaires en affaires, les deux hommes s’associent trois ans plus tard pour créer la société Yves Saint Laurent. Malgré ses obsessions et ses démons intérieurs, Yves Saint Laurent s’apprête à révolutionner le monde de la mode avec son approche moderne et iconoclaste.",Jalil Lespert,"Jalil Lespert,Marie-Pierre Huster","Pierre Niney,Guillaume Gallienne,Charlotte Le Bon","3,1","3,6",France,SND,1 prix et 7 nominations,2014,Long métrage,"
            ARABIC, Anglais, Français, Russe",1 639 214 entrées
Downsizing,https://fr.web.img2.acsta.net/c_310_420/pictures/17/11/28/14/01/3443617.jpg,10 janvier 2018,en salle,"Comédie,Comédie dramatique",Tout public,"Pour lutter contre la surpopulation, des scientifiques mettent au point un processus permettant de réduire les humains à une taille d’environ 12 cm : le ""downsizing"". Chacun réalise que réduire sa taille est surtout une bonne occasion d’augmenter de façon considérable son niveau de vie. Cette promesse d’un avenir meilleur décide Paul Safranek  et sa femme à abandonner le stress de leur quotidien à Omaha (Nebraska), pour se lancer dans une aventure qui changera leur vie pour toujours.",Alexander Payne,"Alexander Payne,Jim Taylor","Matt Damon,Kristen Wiig,Christoph Waltz","3,2","2,2",U.S.A.,Paramount Pictures France,5 nominations,2017,Long métrage,"
            Anglais, Islandais, Norvégien, Espagnol",563 847 entrées
Monuments Men,https://fr.web.img6.acsta.net/c_310_420/pictures/14/01/15/12/03/470425.jpg,12 mars 2014,en salle,"Aventure,Historique,Guerre",Tout public,"La plus grande chasse au trésor du XXe siècle est une histoire vraie. MONUMENTS MEN est inspiré de ce qui s’est réellement passé.,En pleine Seconde Guerre mondiale, sept hommes qui sont tout sauf des soldats – des directeurs et des conservateurs de musées, des artistes, des architectes, et des historiens d’art – se jettent au cœur du conflit pour aller sauver des œuvres d’art volées par les nazis et les restituer à leurs propriétaires légitimes. Mais ces trésors sont cachés en plein territoire ennemi, et leurs chances de réussir sont infimes. Pour tenter d’empêcher la destruction de mille ans d’art et de culture, ces Monuments Men vont se lancer dans une incroyable course contre la montre, en risquant leur vie pour protéger et défendre les plus précieux trésors artistiques de l’humanité…",George Clooney,"George Clooney,Grant Heslov","George Clooney,Matt Damon,Bill Murray","2,2","2,5","U.S.A.,Allemagne",Twentieth Century Fox France,Aucun,2014,Long métrage,"
            Anglais, Français, Allemand, Russe",1 272 022 entrées
Le Nouveau,https://fr.web.img3.acsta.net/c_310_420/pictures/15/12/10/10/50/594663.jpg,23 décembre 2015,en salle,Comédie dramatique,Tout public,"La première semaine de Benoit dans son nouveau collège ne se passe pas comme il l’aurait espéré. Il est malmené par la bande de Charles, des garçons populaires, et les seuls élèves à l’accueillir avec bienveillance sont des « ringards ».,Heureusement, il y a Johanna, jolie suédoise avec qui Benoit se lie d’amitié et tombe sous le charme. Hélas, celle-ci s'éloigne peu à peu pour intégrer la bande de Charles. Sur les conseils de son oncle, Benoit organise une soirée et invite toute sa classe. L’occasion de devenir populaire et de retrouver Johanna.",Rudi Rosenberg,Rudi Rosenberg,"Réphaël Ghrenassia,Joshua Raccah,Johanna Lindstedt","3,8","3,3",France,Mars Films,1 nomination,2015,Long métrage,"
            Français",388 407 entrées
The Signal,https://fr.web.img4.acsta.net/c_310_420/pictures/15/01/09/16/15/148260.jpg,30 janvier 2015,en VOD,"Science Fiction,Thriller",Tout public,"Nick et Jonas sont étudiants en première année à MIT (Massachusetts Institute of Technology). Passionnés de piratage, ils ont déjà déjoué le système de sécurité de MIT. Quand ils décident de faire un road trip à travers le Sud-Ouest des Etats-Unis avec la petite amie de Nick, Hailey, leur trajet se trouve être détourné par un génie de l'informatique qui attire leur attention. Le trio se retrouve alors entraîné dans une zone étrangement isolée. Soudain, tout devient noir. Nic est devenu un captif, ils découvrent alors qu'ils font partie d'un complot hors normes.,",William Eubank,"William Eubank,Carlyle Eubank","Brenton Thwaites,Beau Knapp,Olivia Cooke","2,6",--,U.S.A.,Wild Side,Aucun,2014,Long métrage,"
            -
        ",2 000 000 USD
Camille,https://fr.web.img3.acsta.net/c_310_420/pictures/19/09/10/15/50/3078855.jpg,16 octobre 2019,en salle,"Biopic,Drame",Tout public,"Jeune photojournaliste éprise d'idéal, Camille part en Centrafrique couvrir la guerre civile qui se prépare. Très vite, elle se passionne pour ce pays et sa jeunesse emportée par la tourmente. Désormais, son destin se jouera là-bas.",Boris Lojkine,"Boris Lojkine,Bojina Panayotova","Nina Meurisse,Fiacre Bindala,Bruno Todeschini","3,7","4,0",France,Pyramide Distribution,3 prix et 2 nominations,2019,Long métrage,"
            Français",62 055 entrées
Vice,https://fr.web.img4.acsta.net/c_310_420/pictures/19/02/14/17/04/0258747.jpg,13 février 2019,en salle,"Biopic,Drame",Tout public,"Fin connaisseur des arcanes de la politique américaine, Dick Cheney a réussi, sans faire de bruit, à se faire élire vice-président aux côtés de George W. Bush. Devenu l'homme le plus puissant du pays, il a largement contribué à imposer un nouvel ordre mondial dont on sent encore les conséquences aujourd'hui…",Adam McKay,Adam McKay,"Christian Bale,Amy Adams,Steve Carell","3,9","4,0",U.S.A.,Mars Films,4 prix et 22 nominations,2018,Long métrage,"
            Anglais",319 126 entrées
Black Panther,https://fr.web.img6.acsta.net/c_310_420/pictures/17/10/16/15/40/0883250.jpg,14 février 2018,en salle,"Action,Aventure,Fantastique,Science Fiction",Tout public,"Après les événements qui se sont déroulés dans Captain America : Civil War, T’Challa revient chez lui prendre sa place sur le trône du Wakanda, une nation africaine technologiquement très avancée. Mais lorsqu’un vieil ennemi resurgit, le courage de T’Challa est mis à rude épreuve, aussi bien en tant que souverain qu’en tant que Black Panther. Il se retrouve entraîné dans un conflit qui menace non seulement le destin du Wakanda, mais celui du monde entier…",Ryan Coogler,"Joe Robert Cole,Ryan Coogler","Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o","3,1","3,8",U.S.A.,The Walt Disney Company France,6 prix et 8 nominations,2018,Long métrage,"
            Anglais",3 616 851 entrées
Starbuck,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/82/31/84/20079900.jpg,27 juin 2012,en salle,Comédie,Tout public,"Alors qu’il s’apprête à être père, David Wosniak, éternel adolescent de 42 ans, découvre être le géniteur anonyme de 533 enfants déterminés à le retrouver.",Ken Scott,"Ken Scott,Martin Petit","Patrick Huard,Julie LeBreton,Antoine Bertrand","3,4","4,2",Canada,Diaphana Distribution,3 prix et 2 nominations,2011,Long métrage,"
            Français, Espagnol",464 383 entrées
Sauver ou périr,https://fr.web.img5.acsta.net/c_310_420/pictures/18/08/31/14/28/2124798.jpg,28 novembre 2018,en salle,Drame,Tout public,"Franck est Sapeur-Pompier de Paris. Il sauve des gens. Il vit dans la caserne avec sa femme qui accouche de jumelles. Il est heureux. Lors d’une intervention sur un incendie, il se sacrifie pour sauver ses hommes. A son réveil dans un centre de traitement des Grands Brûlés, il comprend que son visage a fondu dans les flammes. Il va devoir réapprendre à vivre, et accepter d’être sauvé à son tour.",Frédéric Tellier,"David Oelhoffen,Frédéric Tellier","Pierre Niney,Anaïs Demoustier,Chloé Stefani","3,3","4,1",France,Mars Films,# prix,2018,Long métrage,"
            Français",1 014 439 entrées
BlacKkKlansman - J'ai infiltré le Ku Klux Klan,https://fr.web.img3.acsta.net/c_310_420/pictures/18/06/18/15/48/0814411.jpg,22 août 2018,en salle,"Biopic,Policier",Tout public,"Au début des années 70, au plus fort de la lutte pour les droits civiques, plusieurs émeutes raciales éclatent dans les grandes villes des États-Unis. Ron Stallworth devient le premier officier Noir américain du Colorado Springs Police Department, mais son arrivée est accueillie avec scepticisme, voire avec une franche hostilité, par les agents les moins gradés du commissariat. Prenant son courage à deux mains, Stallworth va tenter de faire bouger les lignes et, peut-être, de laisser une trace dans l'histoire. Il se fixe alors une mission des plus périlleuses : infiltrer le Ku Klux Klan pour en dénoncer les exactions.,En se faisant passer pour un extrémiste, Stallworth contacte le groupuscule : il ne tarde pas à se voir convier d'en intégrer la garde rapprochée. Il entretient même un rapport privilégié avec le ""Grand Wizard"" du Klan, David Duke, enchanté par l'engagement de Ron en faveur d'une Amérique blanche. Tandis que l'enquête progresse et devient de plus en plus complexe, Flip Zimmerman, collègue de Stallworth, se fait passer pour Ron lors des rendez-vous avec les membres du groupe suprémaciste et apprend ainsi qu'une opération meurtrière se prépare. Ensemble, Stallworth et Zimmerman font équipe pour neutraliser le Klan dont le véritable objectif est d'aseptiser son discours ultra-violent pour séduire ainsi le plus grand nombre.",Spike Lee,"Charlie Wachtel,David Rabinowitz","John David Washington,Adam Driver,Topher Grace","3,7","4,0",U.S.A.,Universal Pictures International France,3 prix et 19 nominations,2018,Long métrage,"
            Anglais",1 302 067 entrées
