"Titre","URL","Démarrage","Entrées totales","Réalisateur","Producteur","Pays","Genre","Date de sortie","Classification","Distributeur","Rang toutes exploitations","Rang général","Rang 2008","Nb 1ère places hebdo","Nb semaines Top20","Meilleure place hebdo","Acteurs","Acteur principal","Acteur secondaire"
"kirikou et la sorcière","https://www.jpbox-office.com/fichfilm.php?id=3059&view=2","50 025","1 566 701","Michel Ocelot","","France","Animation","09/12/1998","Tous publics","Gébéka","2 447","2 468","","0","9","10","[]","",""
"holiday","https://www.jpbox-office.com/fichfilm.php?id=11780&view=2","50 045","67 962","Guillaume Nicloux","","France","Comédie","08/12/2010","Tous publics","MK2 Diffusion","12 779","12 848","","0","1","14","[{""name"": ""Josiane Balasko"", ""role_type"": ""Rôle principal"", ""character"": ""Christiane Mercier""}, {""name"": ""Jean-Pierre Darroussin"", ""role_type"": ""Rôle principal"", ""character"": ""Michel Trémois""}, {""name"": ""Judith Godrèche"", ""role_type"": ""Rôle principal"", ""character"": ""Nadine Trémois""}]","Josiane Balasko, Jean-Pierre Darroussin, Judith Godrèche",""
"edward aux mains d'argent","https://www.jpbox-office.com/fichfilm.php?id=5310&view=2","49 229","618 261","Tim Burton","","Etats-Unis","Fantasy","10/04/1991","Tous publics","Fox-Hachette","5 808","5 850","","0","0","-","[{""name"": ""Johnny Depp"", ""role_type"": ""Rôle principal"", ""character"": ""Edward aux mains d'argent""}, {""name"": ""Winona Ryder"", ""role_type"": ""Rôle principal"", ""character"": ""Kim Boggs""}]","Johnny Depp, Winona Ryder",""
"même la pluie","https://www.jpbox-office.com/fichfilm.php?id=11737&view=2","49 237","228 407","","","Espagne","Drame","05/01/2011","Tous publics","Haut et Court","9 105","9 151","","0","4","16","[{""name"": ""Gael Garcia Bernal"", ""role_type"": ""Rôle principal"", ""character"": ""Sebastian""}]","Gael Garcia Bernal",""
"spycies","https://www.jpbox-office.com/fichfilm.php?id=20730&view=2","48 607","109 658","","","Chine","Animation","26/08/2020","Tous publics","Eurozoom","11 365","11 423","","0","3","11","","",""
"le refuge","https://www.jpbox-office.com/fichfilm.php?id=11105&view=2","49 284","114 309","François Ozon","","France","Comédie dramatique","27/01/2010","Tous publics","Le Pacte","11 238","11 296","","0","2","12","[{""name"": ""Isabelle Carré"", ""role_type"": ""Rôle principal"", ""character"": ""Mousse""}, {""name"": ""Melvil Poupaud"", ""role_type"": ""Rôle principal"", ""character"": ""Louis""}]","Isabelle Carré, Melvil Poupaud",""
"la prisonnière espagnole","https://www.jpbox-office.com/fichfilm.php?id=3152&view=2","49 321","196 895","","","Etats-Unis","Thriller","07/01/1998","Tous publics","Bac Films","9 554","9 605","","0","3","13","[{""name"": ""Steve Martin"", ""role_type"": """", ""character"": """"}]","",""
"la couleur pourpre (2024)","https://www.jpbox-office.com/fichfilm.php?id=23327&view=2","49 322","82 420","","","Etats-Unis","Musical","24/01/2024","Tous publics","Warner Bros.","12 243","12 306","","0","1","12","[]","",""
"le parfum d'yvonne","https://www.jpbox-office.com/fichfilm.php?id=4355&view=2","49 327","158 836","Patrice Leconte","","France","Romance","23/03/1994","Distribué par Bac Films","Bac Films","10 195","10 248","","0","1","10","[]","",""
"inju, la bête dans l'ombre","https://www.jpbox-office.com/fichfilm.php?id=9961&view=2","49 334","74 576","Barbet Schroeder","","France","Thriller","03/09/2008","Tous publics","UGC Distribution","12 529","12 596","241","0","1","17","[{""name"": ""Benoît Magimel"", ""role_type"": ""Rôle principal"", ""character"": ""Alex Fayard""}]","Benoît Magimel",""
"sans sarah, rien ne va","https://www.jpbox-office.com/fichfilm.php?id=10010&view=2","49 335","85 183","","","Etats-Unis","Comédie","18/06/2008","Tous publics","Paramount","12 153","12 215","228","0","2","9","[{""name"": ""Mila Kunis"", ""role_type"": ""Rôle principal"", ""character"": ""Rachel""}, {""name"": ""Jason Segel"", ""role_type"": ""Rôle principal"", ""character"": ""Peter Bretter""}, {""name"": ""Jason Bateman"", ""role_type"": ""Apparition"", ""character"": ""Animal Instincts Detective""}, {""name"": ""Jonah Hill"", ""role_type"": ""Apparition"", ""character"": ""Matthew""}, {""name"": ""Paul Rudd"", ""role_type"": ""Apparition"", ""character"": ""Chuck""}, {""name"": ""Kristen Wiig"", ""role_type"": """", ""character"": ""Prahna""}]","Mila Kunis, Jason Segel",""
"fanny","https://www.jpbox-office.com/fichfilm.php?id=13639&view=2","49 438","319 511","","","France","Comédie dramatique","10/07/2013","Tous publics","Pathé","8 018","8 064","","0","7","9","[{""name"": ""Daniel Auteuil"", ""role_type"": ""Rôle principal"", ""character"": ""César""}, {""name"": ""Jean-Pierre Darroussin"", ""role_type"": ""Rôle principal"", ""character"": ""Panisse""}]","Daniel Auteuil, Jean-Pierre Darroussin",""
"contrat sur un terroriste","https://www.jpbox-office.com/fichfilm.php?id=13946&view=2","48 560","68 630","","","Etats-Unis","Thriller","31/12/1997","Distribué par Columbia","Columbia","12 750","12 818","","0","1","14","[{""name"": ""Donald Sutherland"", ""role_type"": """", ""character"": """"}]","",""
"les faussaires de manhattan","https://www.jpbox-office.com/fichfilm.php?id=18641&view=2","48 604","103 253","","","Etats-Unis","Drame","31/07/2019","Tous publics","Condor Distribution","11 569","11 628","","0","2","14","[{""name"": ""Melissa McCarthy"", ""role_type"": ""Rôle principal"", ""character"": ""Lee Israel""}]","Melissa McCarthy",""
"snowden","https://www.jpbox-office.com/fichfilm.php?id=16054&view=2","48 634","501 923","Oliver Stone","","Etats-Unis","Thriller","01/11/2016","Tous publics","Pathé","6 632","6 672","","0","5","6","[{""name"": ""Joseph Gordon-Levitt"", ""role_type"": ""Rôle principal"", ""character"": ""Edward Snowden""}, {""name"": ""Nicolas Cage"", ""role_type"": ""Second rôle"", ""character"": ""Hank Forrester""}]","Joseph Gordon-Levitt","Nicolas Cage"
"adultère: mode d'emploi","https://www.jpbox-office.com/fichfilm.php?id=4074&view=2","48 677","188 931","","","France","Drame","05/07/1995","Moins de 12 ans","Pan-Européenne","9 681","9 733","","0","4","4","[{""name"": ""Richard Berry"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Vincent Cassel"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Karin Viard"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Richard Berry, Vincent Cassel, Karin Viard",""
"l'empire","https://www.jpbox-office.com/fichfilm.php?id=23596&view=2","48 695","96 306","","","France","Science Fiction","21/02/2024","Tous publics","ARP Selection","11 821","11 882","","0","1","19","[{""name"": ""Camille Cottin"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Fabrice Luchini"", ""role_type"": ""Second rôle"", ""character"": ""Belzébuth""}]","Camille Cottin","Fabrice Luchini"
"esther kahn","https://www.jpbox-office.com/fichfilm.php?id=2540&view=2","48 717","160 677","Arnaud Desplechin","","France","Drame","04/10/2000","Distribué par Bac Films","Bac Films","10 169","10 222","","0","2","13","[{""name"": ""Emmanuelle Devos"", ""role_type"": ""Second rôle"", ""character"": ""Sylvia""}]","","Emmanuelle Devos"
"c'est ça l'amour","https://www.jpbox-office.com/fichfilm.php?id=19141&view=2","48 291","102 934","","","France","Drame","27/03/2019","Tous publics","Mars Distribution","11 578","11 637","","0","1","13","","",""
"la bataille géante de boules de neige 2, l'incroyable .","https://www.jpbox-office.com/fichfilm.php?id=20132&view=2","","125 493","","","Canada","Animation","29/01/2020","Tous publics","Alba Longa","10 942","10 999","","0","1","14","","",""
"vers le sud","https://www.jpbox-office.com/fichfilm.php?id=512&view=2","48 171","127 892","","","France","Drame","25/01/2006","Tous publics","Haut et Court","10 891","10 948","","0","1","11","[{""name"": ""Charlotte Rampling"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Charlotte Rampling",""
"l'i.a. du mal","https://www.jpbox-office.com/fichfilm.php?id=23951&view=2","48 190","100 502","Chris Weitz","","Etats-Unis","Thriller","28/08/2024","Distribué par Sony Pictures","Sony Pictures","11 692","11 751","","0","2","17","[]","",""
"loue-moi !","https://www.jpbox-office.com/fichfilm.php?id=17225&view=2","48 216","70 720","","","France","Comédie","05/07/2017","Tous publics","Metropolitan","12 676","12 744","","0","1","14","[{""name"": ""Kev Adams"", ""role_type"": ""Apparition"", ""character"": ""Sébastien""}, {""name"": ""Gad Elmaleh"", ""role_type"": ""Apparition"", ""character"": """"}]","",""
"houria","https://www.jpbox-office.com/fichfilm.php?id=22765&view=2","47 403","85 504","","","France","Drame","15/03/2023","Tous publics","Le Pacte","12 144","12 206","","0","0","-","","",""
"soleil","https://www.jpbox-office.com/fichfilm.php?id=3486&view=2","48 223","160 615","","","France","Comédie","11/06/1997","Distribué par AMLF","AMLF","10 172","10 225","","0","2","7","[{""name"": ""Philippe Noiret"", ""role_type"": ""Rôle principal"", ""character"": ""Joseph Lévy""}]","Philippe Noiret",""
"l'ombre d’un mensonge","https://www.jpbox-office.com/fichfilm.php?id=22025&view=2","48 246","140 396","","","Belgique","Drame","23/03/2022","Tous publics","Ad vitam","10 608","10 663","","0","3","11","[{""name"": ""Clovis Cornillac"", ""role_type"": ""Second rôle"", ""character"": ""Benoît""}]","","Clovis Cornillac"
"sin nombre","https://www.jpbox-office.com/fichfilm.php?id=10863&view=2","47 426","126 560","","","Mexique","Thriller","21/10/2009","Tous publics","Diaphana","10 914","10 971","","0","3","16","","",""
"l'incroyable histoire de winter le dauphin 2","https://www.jpbox-office.com/fichfilm.php?id=14371&view=2","48 283","170 698","","","Etats-Unis","Film familial","24/09/2014","Tous publics","Warner Bros.","9 990","10 042","","0","3","15","[{""name"": ""Morgan Freeman"", ""role_type"": ""Second rôle"", ""character"": ""Dr. Cameron McCarthy""}, {""name"": ""Ashley Judd"", ""role_type"": ""Second rôle"", ""character"": ""Lorraine Nelson""}]","","Morgan Freeman, Ashley Judd"
"puzzle","https://www.jpbox-office.com/fichfilm.php?id=14410&view=2","48 287","68 132","","","Etats-Unis","Romance","19/11/2014","Tous publics","Synergy Cinéma","12 769","12 838","","0","1","13","[{""name"": ""Mila Kunis"", ""role_type"": ""Rôle principal"", ""character"": ""Julia""}, {""name"": ""Liam Neeson"", ""role_type"": ""Rôle principal"", ""character"": ""Michael""}, {""name"": ""Kim Basinger"", ""role_type"": ""Second rôle"", ""character"": ""Elaine""}, {""name"": ""Adrien Brody"", ""role_type"": ""Second rôle"", ""character"": ""Sean""}, {""name"": ""James Franco"", ""role_type"": ""Second rôle"", ""character"": ""Rick""}]","Mila Kunis, Liam Neeson","Kim Basinger, Adrien Brody, James Franco"
"une pluie sans fin","https://www.jpbox-office.com/fichfilm.php?id=18297&view=2","47 477","120 703","","","Chine","Thriller","25/07/2018","Tous publics","Wild Bunch","11 072","11 130","","0","2","13","","",""
"seules les bêtes","https://www.jpbox-office.com/fichfilm.php?id=19825&view=2","48 306","109 247","Dominik Moll","","France","Thriller","04/12/2019","Distribué par Haut et Court","Haut et Court","11 379","11 437","","0","1","15","[{""name"": ""Laure Calamy"", ""role_type"": ""Rôle principal"", ""character"": ""Alice Farange""}]","Laure Calamy",""
"survivre","https://www.jpbox-office.com/fichfilm.php?id=23797&view=2","47 345","98 021","","","France","Aventure - Action","19/06/2024","Moins de 12 ans","KMBO","11 780","11 840","","0","2","11","[{""name"": ""Emilie Dequenne"", ""role_type"": ""Rôle principal"", ""character"": ""Julia""}]","Emilie Dequenne",""
"corps à corps","https://www.jpbox-office.com/fichfilm.php?id=1611&view=2","47 371","77 502","","","France","Thriller","23/04/2003","Distribué par Pathé","Pathé","12 421","12 486","","0","1","17","[{""name"": ""Emmanuelle Seigner"", ""role_type"": ""Rôle principal"", ""character"": ""Laura""}, {""name"": ""Philippe Torreton"", ""role_type"": ""Rôle principal"", ""character"": ""Marco""}, {""name"": ""Yolande Moreau"", ""role_type"": ""Second rôle"", ""character"": ""L'institutrice""}]","Emmanuelle Seigner, Philippe Torreton","Yolande Moreau"
"reality","https://www.jpbox-office.com/fichfilm.php?id=23104&view=2","46 878","124 946","","","Etats-Unis","Drame","16/08/2023","Tous publics","Metropolitan","10 956","11 013","","0","2","15","","",""
"blackbird (2020)","https://www.jpbox-office.com/fichfilm.php?id=20683&view=2","47 384","96 363","","","Etats-Unis","Drame","23/09/2020","Distribué par -","-","11 818","11 879","","0","2","9","[{""name"": ""Susan Sarandon"", ""role_type"": ""Rôle principal"", ""character"": ""Lily""}, {""name"": ""Kate Winslet"", ""role_type"": ""Rôle principal"", ""character"": ""Jennifer""}, {""name"": ""Sam Neill"", ""role_type"": ""Second rôle"", ""character"": ""Paul""}]","Susan Sarandon, Kate Winslet","Sam Neill"
"el presidente","https://www.jpbox-office.com/fichfilm.php?id=17745&view=2","46 962","110 077","","","Argentine","Drame","03/01/2018","Tous publics","Memento Films","11 354","11 412","","0","0","-","","",""
"halloween 9","https://www.jpbox-office.com/fichfilm.php?id=274&view=2","47 420","79 631","Rob Zombie","","Etats-Unis","Horreur","10/10/2007","Moins de 16 ans","TFM Distribution","12 344","12 408","","0","0","-","[]","",""
"le bon, la brute et le cinglé","https://www.jpbox-office.com/fichfilm.php?id=10384&view=2","46 974","102 162","","","Corée du Sud","Aventure - Action","17/12/2008","Tous publics","ARP Selection","11 606","11 665","211","0","0","-","","",""
"la cité de dieu","https://www.jpbox-office.com/fichfilm.php?id=1554&view=2","47 019","180 631","","","Brésil","Drame","12/03/2003","Distribué par Mars Distribution","Mars Distribution","9 809","9 862","","0","2","17","","",""
"marche avec les loups","https://www.jpbox-office.com/fichfilm.php?id=20082&view=2","47 030","180 620","","","France","Documentaire","15/01/2020","Tous publics","Gébéka","9 810","9 863","","0","2","14","","",""
"les citronniers","https://www.jpbox-office.com/fichfilm.php?id=10216&view=2","47 047","296 592","","","Israël","Comédie dramatique","23/04/2008","Tous publics","Océan Films","8 268","8 314","133","0","1","19","","",""
"dernier amour","https://www.jpbox-office.com/fichfilm.php?id=18976&view=2","47 478","77 111","Benoît Jacquot","","France","Drame","20/03/2019","Tous publics","Diaphana","12 432","12 498","","0","1","15","[{""name"": ""Vincent Lindon"", ""role_type"": ""Rôle principal"", ""character"": ""Giacomo Casanova""}]","Vincent Lindon",""
"christina's house","https://www.jpbox-office.com/fichfilm.php?id=10376&view=2","46 292","77 696","","","Canada","Thriller","06/06/2001","Moins de 12 ans","Opening Dist.","12 415","12 480","","0","2","8","","",""
"les bureaux de dieu","https://www.jpbox-office.com/fichfilm.php?id=10341&view=2","46 870","108 650","","","France","Comédie dramatique","05/11/2008","Tous publics","Shellac","11 390","11 448","209","0","0","-","[{""name"": ""Nathalie Baye"", ""role_type"": ""Rôle principal"", ""character"": ""Anne""}, {""name"": ""Isabelle Carré"", ""role_type"": ""Second rôle"", ""character"": ""Marta""}, {""name"": ""Béatrice Dalle"", ""role_type"": ""Second rôle"", ""character"": ""Milena""}, {""name"": ""Nicole Garcia"", ""role_type"": ""Second rôle"", ""character"": ""Denise""}]","Nathalie Baye","Isabelle Carré, Béatrice Dalle, Nicole Garcia"
"pour une nuit…","https://www.jpbox-office.com/fichfilm.php?id=3506&view=2","46 958","102 366","","","Etats-Unis","Drame","17/09/1997","Tous publics","Metropolitan","11 595","11 654","","0","2","7","[{""name"": ""Wesley Snipes"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Robert Downey Jr"", ""role_type"": ""Second rôle"", ""character"": """"}]","Wesley Snipes","Robert Downey Jr"
"no man's land","https://www.jpbox-office.com/fichfilm.php?id=2197&view=2","46 453","238 436","","","Bosnie","Comédie","19/09/2001","Distribué par Océan Films","Océan Films","8 955","9 001","","0","1","12","","",""
"#seigneur des anneaux rep.","https://www.jpbox-office.com/fichfilm.php?id=11605&view=2","","75 039","Peter Jackson","","Etats-Unis","Fantasy","03/12/2003","Tous publics","Metropolitan","HC","12 580","","0","1","13","[{""name"": ""Ian McKellen"", ""role_type"": ""Rôle principal"", ""character"": ""Gandalf""}, {""name"": ""Viggo Mortensen"", ""role_type"": ""Rôle principal"", ""character"": ""Aragorn""}, {""name"": ""Elijah Wood"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Cate Blanchett"", ""role_type"": ""Second rôle"", ""character"": ""Galadriel""}, {""name"": ""Orlando Bloom"", ""role_type"": ""Second rôle"", ""character"": ""Legolas""}, {""name"": ""Liv Tyler"", ""role_type"": ""Second rôle"", ""character"": ""Arwen""}]","Ian McKellen, Viggo Mortensen, Elijah Wood","Cate Blanchett, Orlando Bloom, Liv Tyler"
"gentille","https://www.jpbox-office.com/fichfilm.php?id=882&view=2","47 008","137 910","","","France","Comédie","14/12/2005","Distribué par Films du Losange","Films du Losange","10 672","10 728","","0","1","20","[{""name"": ""Emmanuelle Devos"", ""role_type"": ""Rôle principal"", ""character"": ""Fontaine Leglou""}, {""name"": ""Lambert Wilson"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Emmanuelle Devos, Lambert Wilson",""
"l'envolée sauvage","https://www.jpbox-office.com/fichfilm.php?id=3770&view=2","47 028","200 980","","","Etats-Unis","Film familial","07/05/1997","Tous publics","Columbia","9 468","9 519","","0","2","11","[{""name"": ""Jeff Daniels"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Jeff Daniels",""
"august rush","https://www.jpbox-office.com/fichfilm.php?id=9936&view=2","46 317","68 863","","","Etats-Unis","Fantasy","19/03/2008","Tous publics","EuropaCorp","12 743","12 811","248","0","0","-","[{""name"": ""Jonathan Rhys Meyers"", ""role_type"": ""Rôle principal"", ""character"": ""Louis Connelly""}, {""name"": ""Robin Williams"", ""role_type"": ""Second rôle"", ""character"": ""Maxwell 'Wizard' Wallace""}]","Jonathan Rhys Meyers","Robin Williams"
"intrusion","https://www.jpbox-office.com/fichfilm.php?id=2893&view=2","46 296","61 648","","","Etats-Unis","Thriller","17/11/1999","Tous publics","Metropolitan","13 047","13 116","","0","1","14","[{""name"": ""Johnny Depp"", ""role_type"": ""Rôle principal"", ""character"": ""Commandant Spencer Armacost""}, {""name"": ""Charlize Theron"", ""role_type"": ""Rôle principal"", ""character"": ""Jillian Armacost""}]","Johnny Depp, Charlize Theron",""
"chic !","https://www.jpbox-office.com/fichfilm.php?id=14844&view=2","46 320","66 007","","","France","Comédie","07/01/2015","Tous publics","Studiocanal","12 868","12 937","","0","1","15","[{""name"": ""Fanny Ardant"", ""role_type"": ""Rôle principal"", ""character"": ""Alicia Ricosi""}]","Fanny Ardant",""
"loin des hommes","https://www.jpbox-office.com/fichfilm.php?id=14593&view=2","46 337","110 626","","","France","Drame","14/01/2015","Distribué par Pathé","Pathé","11 344","11 402","","0","1","17","[{""name"": ""Reda Kateb"", ""role_type"": ""Rôle principal"", ""character"": ""Mohamed, le prisonnier""}, {""name"": ""Viggo Mortensen"", ""role_type"": ""Rôle principal"", ""character"": ""Daru""}]","Reda Kateb, Viggo Mortensen",""
"en toute complicité","https://www.jpbox-office.com/fichfilm.php?id=2600&view=2","46 366","50 348","","","Etats-Unis","Thriller","31/05/2000","Tous publics","-","13 605","13 676","","0","1","14","[{""name"": ""Paul Newman"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Linda Fiorentino"", ""role_type"": ""Rôle principal"", ""character"": ""Carol Ann MacKay""}]","Paul Newman, Linda Fiorentino",""
"l'attentat (2013)","https://www.jpbox-office.com/fichfilm.php?id=13614&view=2","45 581","146 598","","","France","Drame","29/05/2013","Tous publics","Wild Bunch","10 461","10 515","","0","3","13","","",""
"trois fois 20 ans","https://www.jpbox-office.com/fichfilm.php?id=12278&view=2","45 618","86 369","","","France","Drame","13/07/2011","Tous publics","Gaumont","12 110","12 172","","0","2","15","","",""
"lola pater","https://www.jpbox-office.com/fichfilm.php?id=17246&view=2","46 456","122 518","","","France","Comédie dramatique","09/08/2017","Tous publics","ARP Selection","11 022","11 079","","0","2","16","[{""name"": ""Fanny Ardant"", ""role_type"": ""Rôle principal"", ""character"": ""Lola""}]","Fanny Ardant",""
"burning days","https://www.jpbox-office.com/fichfilm.php?id=22895&view=2","45 633","136 358","","","Turquie","Thriller","26/04/2023","Tous publics","Memento Films","10 712","10 768","","0","3","16","","",""
"la source (2019)","https://www.jpbox-office.com/fichfilm.php?id=19503&view=2","46 459","67 864","","","France","Comédie","24/07/2019","Tous publics","Apollo Films","12 784","12 853","","0","2","13","[{""name"": ""Christophe Lambert"", ""role_type"": ""Rôle principal"", ""character"": ""Tony Lamouche""}]","Christophe Lambert",""
"tully","https://www.jpbox-office.com/fichfilm.php?id=17847&view=2","46 480","90 743","Jason Reitman","","Etats-Unis","Comédie","27/06/2018","Tous publics","Mars Distribution","11 978","12 039","","0","2","13","[{""name"": ""Charlize Theron"", ""role_type"": ""Rôle principal"", ""character"": ""Marlo""}]","Charlize Theron",""
"cavalcade","https://www.jpbox-office.com/fichfilm.php?id=910&view=2","46 483","87 762","","","France","Drame","25/05/2005","Distribué par Mars Distribution","Mars Distribution","12 077","12 139","","0","2","8","[{""name"": ""Bérénice Bejo"", ""role_type"": ""Rôle principal"", ""character"": ""Manon""}, {""name"": ""Marion Cotillard"", ""role_type"": ""Second rôle"", ""character"": """"}, {""name"": ""Jérémy Renier"", ""role_type"": ""Apparition"", ""character"": ""Jules""}]","Bérénice Bejo","Marion Cotillard"
"monsters (2010)","https://www.jpbox-office.com/fichfilm.php?id=11800&view=2","45 565","64 134","Gareth Edwards","","Grande-Bretagne","Science Fiction","01/12/2010","Tous publics","SND","12 949","13 018","","0","2","13","[]","",""
"38°5 quai des orfèvres","https://www.jpbox-office.com/fichfilm.php?id=22778&view=2","","79 071","","","France","Comédie","21/06/2023","Tous publics","KMBO","12 365","12 429","","0","1","9","[{""name"": ""Didier Bourdon"", ""role_type"": ""Rôle principal"", ""character"": ""Franck Keller""}, {""name"": ""- Artus"", ""role_type"": ""Second rôle"", ""character"": ""Le chef Philippe Etcheverest""}]","Didier Bourdon","- Artus"
"métropolis","https://www.jpbox-office.com/fichfilm.php?id=1912&view=2","45 164","119 259","","","Japon","Animation","05/06/2002","Distribué par Columbia","Columbia","11 114","11 172","","0","2","12","","",""
"la petite chartreuse","https://www.jpbox-office.com/fichfilm.php?id=881&view=2","45 580","138 960","","","France","Drame","23/02/2005","Distribué par Pyramide","Pyramide","10 644","10 699","","0","1","19","[{""name"": ""Oliver Gourmet"", ""role_type"": ""Rôle principal"", ""character"": ""Etienne Vollard""}]","Oliver Gourmet",""
"leviathan (2014)","https://www.jpbox-office.com/fichfilm.php?id=14542&view=2","45 178","198 297","","","Russie","Drame","24/09/2014","Tous publics","Pyramide","9 531","9 582","","0","3","16","","",""
"lady chatterley","https://www.jpbox-office.com/fichfilm.php?id=427&view=2","45 223","421 952","","","Belgique","Drame","01/11/2006","Distribué par Ad Vitam","Ad Vitam","7 155","7 196","","0","0","-","","",""
"la coupe d'or","https://www.jpbox-office.com/fichfilm.php?id=2553&view=2","45 586","119 324","James Ivory","","Etats-Unis","Drame","13/09/2000","Tous publics","Films sans frontières","11 112","11 170","","0","3","10","[{""name"": ""Uma Thurman"", ""role_type"": ""Rôle principal"", ""character"": ""Charlotte Stant""}, {""name"": ""Kate Beckinsale"", ""role_type"": ""Second rôle"", ""character"": ""Maggie Verver""}, {""name"": ""Nick Nolte"", ""role_type"": """", ""character"": ""Adam Verver""}]","Uma Thurman","Kate Beckinsale"
"promising young woman","https://www.jpbox-office.com/fichfilm.php?id=20977&view=2","45 320","97 744","","","Etats-Unis","Thriller","26/05/2021","Tous publics","Universal","11 788","11 848","","0","3","9","","",""
"sisu - de l'or et du sang","https://www.jpbox-office.com/fichfilm.php?id=22885&view=2","44 625","75 083","","","Finlande","Aventure - Action","21/06/2023","Moins de 12 ans","SND","12 512","12 578","","0","1","10","","",""
"kings","https://www.jpbox-office.com/fichfilm.php?id=17846&view=2","45 150","75 815","","","Etats-Unis","Drame","11/04/2018","Distribué par Ad vitam","Ad vitam","12 484","12 550","","0","1","16","[{""name"": ""Halle Berry"", ""role_type"": ""Rôle principal"", ""character"": ""Millie""}, {""name"": ""Daniel Craig"", ""role_type"": ""Rôle principal"", ""character"": ""Ollie""}]","Halle Berry, Daniel Craig",""
"bts: yet to come in cinemas","https://www.jpbox-office.com/fichfilm.php?id=22686&view=2","44 670","45 570","","","Corée du Sud","Documentaire","01/02/2023","Tous publics","Pathé","13 846","13 921","","0","1","16","","",""
"les animaux amoureux","https://www.jpbox-office.com/fichfilm.php?id=9752&view=2","45 200","117 114","","","France","Documentaire","19/12/2007","Tous publics","TFM Distribution","11 168","11 226","","0","0","-","[{""name"": ""Cécile De France"", ""role_type"": ""Voix"", ""character"": ""off - La narratrice""}]","",""
"genius","https://www.jpbox-office.com/fichfilm.php?id=15878&view=2","45 216","91 740","","","Grande-Bretagne","Drame","27/07/2016","Tous publics","Mars Distribution","11 947","12 008","","0","2","13","[{""name"": ""Colin Firth"", ""role_type"": ""Rôle principal"", ""character"": ""Maxwell Perkins""}, {""name"": ""Jude Law"", ""role_type"": ""Rôle principal"", ""character"": ""Thomas Wolfe""}, {""name"": ""Nicole Kidman"", ""role_type"": ""Second rôle"", ""character"": ""Aline Bernstein""}, {""name"": ""Guy Pearce"", ""role_type"": ""Second rôle"", ""character"": ""F. Scott Fitzgerald""}]","Colin Firth, Jude Law","Nicole Kidman, Guy Pearce"
"wishcraft","https://www.jpbox-office.com/fichfilm.php?id=12472&view=2","44 754","69 754","","","Etats-Unis","Horreur","25/09/2002","Moins de 12 ans","SND","12 719","12 787","","0","1","14","","",""
"si loin, si proche","https://www.jpbox-office.com/fichfilm.php?id=4627&view=2","45 238","174 764","Win Wenders","","Allemagne","Drame","01/09/1993","Distribué par Bac Films","Bac Films","9 909","9 961","","0","1","9","[]","",""
"cet été là","https://www.jpbox-office.com/fichfilm.php?id=22522&view=2","45 250","69 960","Eric Lartigau","","France","Comédie dramatique","04/01/2023","Tous publics","Studiocanal","12 709","12 777","","0","1","11","[{""name"": ""Marina Foïs"", ""role_type"": ""Rôle principal"", ""character"": ""Sarah""}, {""name"": ""Gael Garcia Bernal"", ""role_type"": ""Rôle principal"", ""character"": ""Thiago""}]","Marina Foïs, Gael Garcia Bernal",""
"dolores claiborne","https://www.jpbox-office.com/fichfilm.php?id=4107&view=2","45 293","101 275","","","Etats-Unis","Drame","11/10/1995","Distribué par -","-","11 650","11 709","","0","2","11","[{""name"": ""John C. Reilly"", ""role_type"": """", ""character"": ""Frank Stamshaw, le policier""}]","",""
"tolérance zéro","https://www.jpbox-office.com/fichfilm.php?id=1256&view=2","45 346","63 385","","","Etats-Unis","Aventure - Action","07/07/2004","Moins de 12 ans","UFD","12 978","13 048","","0","1","14","[{""name"": ""Dwayne Johnson"", ""role_type"": ""Rôle principal"", ""character"": ""Chris Vaughn""}, {""name"": ""Johnny Knoxville"", ""role_type"": ""Rôle principal"", ""character"": ""Ray""}]","Dwayne Johnson, Johnny Knoxville",""
"le nouveau jean-claude","https://www.jpbox-office.com/fichfilm.php?id=1953&view=2","45 351","57 246","","","France","Comédie","26/06/2002","Distribué par Pathé","Pathé","13 260","13 330","","0","1","11","[{""name"": ""Richard Berry"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Richard Berry",""
"change moi ma vie","https://www.jpbox-office.com/fichfilm.php?id=2270&view=2","44 610","73 962","","","France","Comédie dramatique","28/11/2001","Tous publics","Pan-Européenne","12 553","12 620","","0","1","14","[{""name"": ""Roschdy Zem"", ""role_type"": ""Rôle principal"", ""character"": ""Sami""}, {""name"": ""Fanny Ardant"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Roschdy Zem, Fanny Ardant",""
