"Titre","URL","Démarrage","Entrées totales","Réalisateur","Producteur","Pays","Genre","Date de sortie","Classification","Distributeur","Rang toutes exploitations","Rang général","Rang 2008","Nb 1ère places hebdo","Nb semaines Top20","Meilleure place hebdo","Acteurs","Acteur principal","Acteur secondaire"
"after the wedding","https://www.jpbox-office.com/fichfilm.php?id=18794&view=2","10 329","36 632","","","Danemark","Drame","07/03/2007","Tous publics","Equation","14 306","14 381","","0","0","-","[{""name"": ""Mads Mikkelsen"", ""role_type"": ""Rôle principal"", ""character"": ""Jacob""}]","Mads Mikkelsen",""
"le vent tourne","https://www.jpbox-office.com/fichfilm.php?id=18375&view=2","10 331","20 161","","","France","Drame","26/09/2018","Tous publics","ARP Selection","HC","HC","","0","0","-","[{""name"": ""Mélanie Thierry"", ""role_type"": ""Rôle principal"", ""character"": ""Pauline""}]","Mélanie Thierry",""
"gerontophilia","https://www.jpbox-office.com/fichfilm.php?id=14188&view=2","10 544","24 614","","","Canada","Comédie dramatique","26/03/2014","Tous publics","Epicentre films","HC","HC","","0","0","-","","",""
"capitaines !","https://www.jpbox-office.com/fichfilm.php?id=23294&view=2","10 547","27 284","","","France","Animation","20/09/2023","Tous publics","Films du Préau","14 960","15 043","","0","0","-","","",""
"water","https://www.jpbox-office.com/fichfilm.php?id=565&view=2","10 558","37 874","","","Canada","Drame","06/09/2006","Distribué par Films sans frontières","Films sans frontières","14 236","14 311","","0","0","-","","",""
"hipótesis","https://www.jpbox-office.com/fichfilm.php?id=14202&view=2","10 563","26 463","","","Argentine","Thriller","12/02/2014","Tous publics","Eurozoom","15 027","15 112","","0","0","-","","",""
"à la vie (2021)","https://www.jpbox-office.com/fichfilm.php?id=21553&view=2","10 603","29 381","","","France","Documentaire","20/10/2021","Tous publics","-","14 795","14 878","","0","0","-","","",""
"chercher le garçon","https://www.jpbox-office.com/fichfilm.php?id=12823&view=2","10 617","26 290","","","France","Drame","09/05/2012","Tous publics","Shellac","15 048","15 133","","0","1","19","","",""
"#la maman et la putain (rep. 2022)","https://www.jpbox-office.com/fichfilm.php?id=22160&view=2","","31 454","","","France","Drame","08/06/2022","Tous publics","Films du Losange","HC","14 718","","0","0","-","","",""
"the girlfriend experience","https://www.jpbox-office.com/fichfilm.php?id=10793&view=2","10 395","17 524","Steven Soderbergh","","Etats-Unis","Comédie","08/07/2009","Tous publics","Metropolitan","HC","HC","","0","0","-","[]","",""
"taking side le cas furtwangler","https://www.jpbox-office.com/fichfilm.php?id=1971&view=2","10 395","32 612","","","Etats-Unis","Drame","30/04/2002","Tous publics","Mondo Films","14 571","14 650","","0","0","-","[{""name"": ""Harvey Keitel"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Harvey Keitel",""
"black snake moan","https://www.jpbox-office.com/fichfilm.php?id=112&view=2","10 402","17 854","","","Etats-Unis","Drame","30/05/2007","Distribué par Paramount","Paramount","HC","HC","","0","0","-","[{""name"": ""Samuel L. Jackson"", ""role_type"": ""Rôle principal"", ""character"": ""Lazarus""}, {""name"": ""Justin Timberlake"", ""role_type"": ""Rôle principal"", ""character"": ""Ronnie""}, {""name"": ""Christina Ricci"", ""role_type"": ""Rôle principal"", ""character"": ""Rae""}]","Samuel L. Jackson, Justin Timberlake, Christina Ricci",""
"baby boy","https://www.jpbox-office.com/fichfilm.php?id=2305&view=2","10 421","22 768","John Singleton","","Etats-Unis","Drame","19/09/2001","Tous publics","Columbia","HC","HC","","0","0","-","[]","",""
"pettson et picpus","https://www.jpbox-office.com/fichfilm.php?id=2255&view=2","10 673","100 314","","","Allemagne","Animation","14/02/2001","Distribué par Eurozoom","Eurozoom","11 701","11 760","","0","0","-","","",""
"a propos de joan","https://www.jpbox-office.com/fichfilm.php?id=22265&view=2","10 441","15 570","","","France","Drame","14/09/2022","Tous publics","Haut et Court","HC","HC","","0","0","-","[{""name"": ""Isabelle Huppert"", ""role_type"": ""Rôle principal"", ""character"": ""Joan Verra""}]","Isabelle Huppert",""
"revenge (2011)","https://www.jpbox-office.com/fichfilm.php?id=12061&view=2","10 687","16 370","","","Danemark","Drame","16/03/2011","Tous publics","Equation","HC","HC","","0","0","-","","",""
"pigalle","https://www.jpbox-office.com/fichfilm.php?id=14611&view=2","10 706","49 568","","","France","Drame","01/02/1995","Moins de 16 ans","Diaphana","13 647","13 720","","0","0","-","","",""
"il figlio, manuel","https://www.jpbox-office.com/fichfilm.php?id=17960&view=2","10 713","27 567","","","Italie","Drame","07/03/2018","Tous publics","Le Pacte","14 941","15 024","","0","0","-","","",""
"sauve moi","https://www.jpbox-office.com/fichfilm.php?id=16938&view=2","10 555","26 541","","","France","Comédie dramatique","06/09/2000","Tous publics","Pyramide","15 018","15 102","","0","1","18","[{""name"": ""Roschdy Zem"", ""role_type"": ""Rôle principal"", ""character"": ""Mehdi""}, {""name"": ""Oliver Gourmet"", ""role_type"": ""Second rôle"", ""character"": ""Casteldi""}]","Roschdy Zem","Oliver Gourmet"
"le petit monde de leo","https://www.jpbox-office.com/fichfilm.php?id=15121&view=2","10 722","27 974","","","Suisse","Animation","11/02/2015","Tous publics","Cinema Public","14 906","14 989","","0","0","-","","",""
"la fontaine fait son cinéma","https://www.jpbox-office.com/fichfilm.php?id=17033&view=2","10 733","45 692","","","France","Animation","22/03/2017","Tous publics","Cinema Public","13 839","13 914","","0","0","-","","",""
"princesas","https://www.jpbox-office.com/fichfilm.php?id=19195&view=2","10 743","17 598","","","Espagne","Drame","08/11/2006","Tous publics","ARP Selection","HC","HC","","0","0","-","","",""
"max","https://www.jpbox-office.com/fichfilm.php?id=1982&view=2","10 648","18 146","","","Etats-Unis","Drame","17/09/2003","Distribué par -","-","HC","HC","","0","0","-","[{""name"": ""John Cusack"", ""role_type"": """", ""character"": """"}]","",""
"les nouvelles aventures de capelito","https://www.jpbox-office.com/fichfilm.php?id=12818&view=2","10 853","39 581","","","Espagne","Animation","11/04/2012","Tous publics","Cinema Public","14 156","14 231","","0","0","-","","",""
"ailleurs si j'y suis","https://www.jpbox-office.com/fichfilm.php?id=22601&view=2","10 680","19 533","","","France","Comédie","29/03/2023","Tous publics","UFO Distribution","HC","HC","","0","0","-","[{""name"": ""Jérémy Renier"", ""role_type"": ""Rôle principal"", ""character"": ""Mathieu""}]","Jérémy Renier",""
"la bella gente - les gens bien","https://www.jpbox-office.com/fichfilm.php?id=12672&view=2","10 872","30 010","","","Italie","Drame","16/02/2011","Tous publics","Bellissima Films","14 748","14 831","","0","0","-","","",""
"rose, petite fée des fleurs","https://www.jpbox-office.com/fichfilm.php?id=23634&view=2","10 886","51 774","","","Danemark","Animation","14/02/2024","Tous publics","Gébéka","13 520","13 590","","0","0","-","","",""
"toril","https://www.jpbox-office.com/fichfilm.php?id=23098&view=2","10 718","13 970","","","France","Thriller","14/09/2016","Distribué par La Belle Company","La Belle Company","HC","HC","","0","0","-","[{""name"": ""Karim Leklou"", ""role_type"": ""Second rôle"", ""character"": ""Bruno""}]","","Karim Leklou"
"nothingwood","https://www.jpbox-office.com/fichfilm.php?id=17210&view=2","10 890","29 758","","","Afghanistan","Documentaire","14/06/2017","Tous publics","Pyramide","14 766","14 849","","0","0","-","","",""
"ginostra","https://www.jpbox-office.com/fichfilm.php?id=1661&view=2","10 729","14 483","","","Italie","Thriller","29/01/2003","Distribué par -","-","HC","HC","","0","0","-","[{""name"": ""Harvey Keitel"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Andie MacDowell"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Harvey Keitel, Andie MacDowell",""
"rocks","https://www.jpbox-office.com/fichfilm.php?id=20804&view=2","10 895","27 284","","","Grande-Bretagne","Drame","09/09/2020","Tous publics","Haut et Court","14 960","15 043","","0","1","18","","",""
"opération père noël","https://www.jpbox-office.com/fichfilm.php?id=22547&view=2","10 895","138 028","","","France","Animation","23/11/2022","Tous publics","Gébéka","10 670","10 726","","0","3","13","","",""
"made in bangladesh","https://www.jpbox-office.com/fichfilm.php?id=20083&view=2","10 897","34 916","","","France","Drame","04/12/2019","Tous publics","Pyramide","14 410","14 485","","0","0","-","","",""
"bloody milkshake","https://www.jpbox-office.com/fichfilm.php?id=21333&view=2","10 853","13 779","","","Etats-Unis","Aventure - Action","21/07/2021","Moins de 12 ans","Studiocanal","HC","HC","","0","0","-","[{""name"": ""Angela Basset"", ""role_type"": ""Second rôle"", ""character"": ""Anna May""}, {""name"": ""Paul Giamatti"", ""role_type"": ""Second rôle"", ""character"": ""Nathan""}]","","Angela Basset, Paul Giamatti"
"born to be blue","https://www.jpbox-office.com/fichfilm.php?id=15759&view=2","10 854","34 226","","","Etats-Unis","Drame","11/01/2017","Tous publics","Kinovista","14 458","14 534","","0","0","-","[{""name"": ""Ethan Hawke"", ""role_type"": ""Rôle principal"", ""character"": ""Chet Baker""}]","Ethan Hawke",""
"le vieux qui lisait des romans d'amour","https://www.jpbox-office.com/fichfilm.php?id=2310&view=2","10 857","18 697","","","Etats-Unis","Drame","07/03/2001","Tous publics","Océan Films","HC","HC","","0","0","-","[{""name"": ""Richard Dreyfuss"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Richard Dreyfuss",""
"la famille savage","https://www.jpbox-office.com/fichfilm.php?id=9926&view=2","10 858","15 504","","","Etats-Unis","Comédie","20/02/2008","Tous publics","20th Century Fox","HC","HC","HC","0","0","-","[{""name"": ""Philip Seymour Hoffman"", ""role_type"": ""Rôle principal"", ""character"": ""Jon Savage""}]","Philip Seymour Hoffman",""
"danny balint","https://www.jpbox-office.com/fichfilm.php?id=18070&view=2","10 864","18 202","","","Etats-Unis","Drame","10/10/2001","Tous publics","-","HC","HC","","0","0","-","[{""name"": ""Ryan Gosling"", ""role_type"": ""Rôle principal"", ""character"": ""Danny Balint""}]","Ryan Gosling",""
"un… deux… trois dansez","https://www.jpbox-office.com/fichfilm.php?id=955&view=2","10 906","19 336","","","Etats-Unis","Documentaire","15/03/2006","Distribué par UGC Distribution","UGC Distribution","HC","HC","","0","0","-","","",""
"un été brûlant","https://www.jpbox-office.com/fichfilm.php?id=12334&view=2","10 867","25 344","","","Suisse","Comédie dramatique","28/09/2011","Tous publics","Wild Bunch","15 116","15 201","","0","0","-","[{""name"": ""Monica Bellucci"", ""role_type"": ""Rôle principal"", ""character"": ""Angèle""}, {""name"": ""Vincent Macaigne"", ""role_type"": ""Second rôle"", ""character"": ""Achille""}]","Monica Bellucci","Vincent Macaigne"
"l'un des nôtres","https://www.jpbox-office.com/fichfilm.php?id=20760&view=2","10 884","13 814","","","Etats-Unis","Thriller","16/06/2021","Tous publics","Universal","HC","HC","","0","0","-","[{""name"": ""Kevin Costner"", ""role_type"": ""Rôle principal"", ""character"": ""George Blackledge""}, {""name"": ""Diane Lane"", ""role_type"": ""Rôle principal"", ""character"": ""Margaret Blackledge""}]","Kevin Costner, Diane Lane",""
"carmina!","https://www.jpbox-office.com/fichfilm.php?id=16050&view=2","10 921","32 275","","","Espagne","Comédie dramatique","27/07/2016","Tous publics","Bodega Films","14 587","14 666","","0","0","-","","",""
"kabali","https://www.jpbox-office.com/fichfilm.php?id=16013&view=2","11 023","14 065","","","Inde","Thriller","20/07/2016","Tous publics","Aana Films","HC","HC","","0","0","-","","",""
"la sapienza","https://www.jpbox-office.com/fichfilm.php?id=15187&view=2","11 054","47 954","","","France","Drame","25/03/2015","Tous publics","Bodega Films","13 746","13 819","","0","0","-","","",""
"secret défense","https://www.jpbox-office.com/fichfilm.php?id=3536&view=2","10 902","35 757","","","France","Thriller","18/03/1998","Distribué par Pierre Grise","Pierre Grise","14 362","14 437","","0","0","-","[{""name"": ""Sandrine Bonnaire"", ""role_type"": ""Rôle principal"", ""character"": ""Sylvie""}]","Sandrine Bonnaire",""
"freda","https://www.jpbox-office.com/fichfilm.php?id=21498&view=2","11 074","30 844","","","France","Drame","13/10/2021","Tous publics","Nour Films","14 667","14 749","","0","0","-","","",""
"monsieur bout-de-bois","https://www.jpbox-office.com/fichfilm.php?id=16356&view=2","11 089","200 349","","","Grande-Bretagne","Animation","05/10/2016","Tous publics","Films du Préau","9 486","9 537","","0","2","10","","",""
"goodbye monster","https://www.jpbox-office.com/fichfilm.php?id=23895&view=2","11 106","11 433","","","Chine","Animation","24/07/2024","Tous publics","Eurozoom","HC","HC","","0","1","18","","",""
"les ours gloutons au pôle nord","https://www.jpbox-office.com/fichfilm.php?id=24229&view=2","11 124","86 055","","","Rép. Tchèque","Animation","13/11/2024","Tous publics","Gébéka","12 118","12 180","","0","0","-","","",""
"une semaine et un jour","https://www.jpbox-office.com/fichfilm.php?id=16633&view=2","11 133","17 214","","","Israël","Drame","14/12/2016","Tous publics","Sophie Dulac","HC","HC","","0","0","-","","",""
"le marchand de sable (2023)","https://www.jpbox-office.com/fichfilm.php?id=22526&view=2","10 913","16 674","","","France","Drame","15/02/2023","Tous publics","The Jokers / Les Bookmakers","HC","HC","","0","0","-","[{""name"": ""Benoît Magimel"", ""role_type"": ""Second rôle"", ""character"": ""Yvan""}]","","Benoît Magimel"
"le défi du champion","https://www.jpbox-office.com/fichfilm.php?id=19389&view=2","11 140","17 797","","","Italie","Comédie","05/08/2020","Tous publics","-","HC","HC","","0","0","-","","",""
