Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
love addict,248024.0,698268,,France,Comédie,2018-04-18,Tous publics,Metropolitan,,,0,5,2.0,Kev Adams,
ponyo sur la falaise,248029.0,906455,Hayao Miyazaki,Japon,Animation,2009-04-08,Tous publics,Walt Disney Pictures,,,0,8,7.0,,
l'assaut,248721.0,515936,,France,Thriller,2011-03-09,Tous publics,Mars Distribution,,,0,3,6.0,Vincent Elbaz,
le flic de belleville,248868.0,630283,,France,Comédie,2018-10-17,Tous publics,Metropolitan,,,0,4,7.0,Omar Sy,Franck Gastambide
tonnerre sous les tropiques,249246.0,567831,,Etats-Unis,Comédie,2008-10-15,Tous publics,Paramount,,,0,2,4.0,"Jack Black, Robert Downey Jr, Ben Stiller","Tom Cruise, Matthew McConaughey, Nick Nolte"
présidents,249345.0,431129,Anne Fontaine,France,Comédie,2021-06-30,Tous publics,Universal,,,0,4,5.0,Jean Dujardin,Denis Podalydès
spy,249389.0,784346,Paul Feig,Etats-Unis,Comédie,2015-06-17,Tous publics,20th Century Fox,,,0,6,3.0,"Jude Law, Melissa McCarthy, Jason Statham",Rose Byrne
une vie meilleure,249464.0,499832,Cédric Kahn,France,Drame,2012-01-04,Tous publics,Mars Distribution,,,0,4,4.0,Guillaume Canet,Leïla Bekhti
tom et jerry,249620.0,595039,,Etats-Unis,Animation,2021-05-19,Tous publics,Warner Bros.,,,0,7,3.0,,Chloë Grace Moretz
otez-moi d'un doute,249649.0,679064,,France,Comédie dramatique,2017-09-06,Tous publics,SND,,,0,5,2.0,"François Damiens, Cécile De France",
la promesse de l'aube (2017),250088.0,1053288,,France,Drame,2017-12-20,Tous publics,Pathé,,,0,6,7.0,"Charlotte Gainsbourg, Pierre Niney","Didier Bourdon, Jean-Pierre Darroussin"
mystère à venise,250148.0,756736,Kenneth Branagh,Grande-Bretagne,Thriller,2023-09-13,Tous publics,Walt Disney Pictures,,,0,6,2.0,Kenneth Branagh,Camille Cottin
"antartica, prisonniers du froid",250169.0,526732,,Etats-Unis,Aventure - Action,2006-04-26,Tous publics,Walt Disney Pictures,,,0,2,6.0,Paul Walker,
les crevettes pailletées,253409.0,577413,,France,Comédie,2019-05-08,Tous publics,Universal,,,0,5,4.0,,
la tête haute,250271.0,706001,,France,Drame,2015-05-13,Tous publics,Wild Bunch,,,0,6,3.0,,
c'est tout pour moi,250306.0,693235,,France,Comédie dramatique,2017-11-29,Tous publics,UGC Distribution,,,0,5,3.0,,"- Artus, François Berléand"
les petites victoires,250360.0,925562,,France,Comédie,2023-03-01,Tous publics,Zinc,,,0,6,3.0,Michel Blanc,
"sans arme, ni haine, ni violence",250427.0,379896,,France,Comédie,2008-04-16,Tous publics,Mars Distribution,,,0,2,5.0,"Gilles Lellouche, Jean-Paul Rouve",
"the grudge: ne pas oublier, ne jamais pardonner",250456.0,743955,,Etats-Unis,Horreur,2004-12-29,Moins de 12 ans,Metropolitan,,,0,6,6.0,Sarah Michelle Gellar,
american nightmare 2 : anarchy,252330.0,537534,,Etats-Unis,Horreur,2014-07-23,Moins de 12 ans,Universal,,,0,4,5.0,,
nos jours heureux,252982.0,1473273,. Nakache & Toledano,France,Comédie,2006-06-28,Tous publics,SND,,,1,9,1.0,Jean-Paul Rouve,Omar Sy
le lion,253092.0,457432,,France,Comédie,2020-01-29,Tous publics,Pathé,,,0,3,3.0,Dany Boon,
le pacte,253128.0,526681,,Etats-Unis,Thriller,2012-01-04,Tous publics,SND,,,0,4,2.0,Nicolas Cage,Guy Pearce
ange et gabrielle,254124.0,602645,,France,Romance,2015-11-11,Tous publics,UGC Distribution,,,0,5,2.0,"Patrick Bruel, Isabelle Carré",
riddick,254478.0,512787,David Twohy,Etats-Unis,Science Fiction,2013-09-18,Moins de 12 ans,Metropolitan,,,0,4,2.0,Vin Diesel,
michael clayton,254575.0,581639,,Etats-Unis,Thriller,2007-10-17,Tous publics,SND,,,0,2,3.0,George Clooney,
crazy night,254856.0,461816,Shawn Levy,Etats-Unis,Comédie,2010-05-12,Tous publics,20th Century Fox,,,0,4,6.0,Steve Carell,"James Franco, Mila Kunis, Ray Liotta, Mark Wahlberg"
normandie nue,254909.0,595461,,France,Comédie dramatique,2018-01-10,Tous publics,SND,,,0,4,4.0,François Cluzet,François-Xavier Demaison
casse-noisette et les quatre royaumes,254939.0,801791,Lasse Hallstrom,Etats-Unis,Aventure - Action,2018-11-28,Tous publics,Walt Disney Pictures,,,0,5,5.0,Keira Knightley,"Morgan Freeman, Helen Mirren"
la tour 2 contrôle infernale,255033.0,357801,,France,Comédie,2016-02-10,Tous publics,Légende Distribution,,,0,2,7.0,"Ramzy Bedia, Marina Foïs, Eric Judor",
need for speed,255242.0,464606,,Etats-Unis,Aventure - Action,2014-04-16,Tous publics,Metropolitan,,,0,3,6.0,,Michael Keaton
elle s'appelait sarah,255461.0,826891,Gilles Paquet-Brenner,France,Drame,2010-10-13,Tous publics,UGC Distribution,,,0,6,5.0,Kristin Scott Thomas,Niels Arestrup
tout simplement noir,255537.0,760628,,France,Comédie,2020-07-08,Tous publics,Gaumont,,,1,9,1.0,,
une petite zone de turbulences,256377.0,540430,,France,Comédie,2010-01-13,Tous publics,UGC Distribution,,,0,4,3.0,Michel Blanc,"Gilles Lellouche, Miou-Miou"
angry birds : copains comme cochons,256867.0,691339,,Etats-Unis,Animation,2019-10-16,Tous publics,Sony Pictures,,,0,4,6.0,,
sous écrous,257373.0,688264,,France,Comédie,2024-12-18,Tous publics,Apollo Films,,,0,5,3.0,,
la fille du train,256506.0,479172,,Etats-Unis,Thriller,2016-10-26,Moins de 12 ans,Metropolitan,,,0,3,11.0,Emily Blunt,Luke Evans
the suicide squad,256516.0,714782,James Gunn,Etats-Unis,Comicbook,2021-07-28,Tous publics,Warner Bros.,,,0,7,3.0,"Idris Elba, Margot Robbie",Viola Davis
minuscule: les mandibules du bout du monde,257867.0,756332,,France,Animation,2019-01-30,Tous publics,Le Pacte,,,0,5,3.0,,
10 jours encore sans maman,256753.0,681074,,France,Comédie,2023-04-12,Tous publics,Studiocanal,,,0,5,4.0,Franck Dubosc,
emilia perez,256771.0,1245259,Jacques Audiard,France,Drame,2024-08-21,Tous publics,Pathé,,,0,9,2.0,,
jack mimoun et les secrets de val verde,257163.0,659844,,France,Aventure - Action,2022-10-12,Tous publics,Pathé,,,0,5,3.0,"Jérôme Commandeur, François Damiens",Benoît Magimel
billy elliot,257958.0,2535994,Stephen Daldry,Grande-Bretagne,Drame,2000-12-20,Tous publics,Mars Distribution,,,0,15,3.0,,
le vent se lève (2014),258144.0,776769,Hayao Miyazaki,Japon,Animation,2014-01-22,Tous publics,Walt Disney Pictures,,,0,5,3.0,,
the ryan initiative,258323.0,452685,Kenneth Branagh,Etats-Unis,Thriller,2014-01-29,Tous publics,Paramount,,,0,3,3.0,"Kevin Costner, Chris Pine","Kenneth Branagh, Keira Knightley"
le monde secret des emojis,258815.0,742474,,Etats-Unis,Animation,2017-10-18,Tous publics,Sony Pictures,,,0,4,6.0,,
esther,259097.0,638919,Jaume Collet-Serra,Etats-Unis,Thriller,2009-12-30,Moins de 12 ans,Warner Bros.,,,0,5,3.0,,
tu seras mon fils,259225.0,722122,,France,Drame,2011-08-24,Tous publics,Universal,,,0,5,5.0,"Niels Arestrup, Lorant Deutsch",
clochette et la fée pirate,259292.0,1054357,,Etats-Unis,Animation,2014-04-02,Tous publics,Walt Disney Pictures,,,0,6,2.0,,
numéro quatre,259311.0,688858,D.J. Caruso,Etats-Unis,Science Fiction,2011-04-06,Tous publics,Walt Disney Pictures,,,0,4,2.0,,
l'affaire farewell,259383.0,771551,,France,Thriller,2009-09-23,Tous publics,Pathé,,,0,6,2.0,Guillaume Canet,"Niels Arestrup, Willem Dafoe"
les bad guys,259472.0,1122875,,Etats-Unis,Animation,2022-04-06,Tous publics,Universal,,,0,11,3.0,,
le deuxième souffle,260479.0,493255,Alain Corneau,France,Thriller,2007-10-24,Tous publics,ARP Selection,,,0,1,3.0,"Daniel Auteuil, Monica Bellucci","Michel Blanc, Jacques Dutronc"
le transporteur,260706.0,541229,Louis Leterrier,France,Aventure - Action,2002-10-23,Tous publics,EuropaCorp,,,0,3,7.0,"François Berléand, Jason Statham",
shaun le mouton le film : la ferme contre-attaque,261698.0,731218,,Grande-Bretagne,Animation,2019-10-16,Tous publics,Studiocanal,,,0,4,5.0,,
le passé,260761.0,965466,,France,Drame,2013-05-17,Tous publics,Memento Films,,,0,6,4.0,"Bérénice Bejo, Tahar Rahim",
le dernier chasseur de sorcières,261102.0,553846,,Etats-Unis,Fantasy,2015-10-28,Moins de 12 ans,SND,,,0,5,6.0,Vin Diesel,"Michael Caine, Elijah Wood"
les as de la jungle 2 - opération tour du monde,262703.0,829193,,France,Animation,2023-08-16,Tous publics,SND,,,0,6,3.0,,
sous le même toit,261235.0,652313,Dominique Farrugia,France,Comédie,2017-04-19,Tous publics,EuropaCorp,,,0,6,4.0,"Louise Bourgoin, Gilles Lellouche, Manu Payet",
ce soir je dors chez toi,261274.0,517125,Olivier Baroux,France,Comédie,2007-11-21,Tous publics,Studiocanal,,,0,3,3.0,"Kad Merad, Jean-Paul Rouve",
deja vu,261617.0,739510,Tony Scott,Etats-Unis,Thriller,2006-12-13,Tous publics,Walt Disney Pictures,,,0,4,3.0,Denzel Washington,"Jim Caviezel, Val Kilmer"
les désastreuses aventures des orphelins beaudelaire,261743.0,653185,Brad Silberling,Etats-Unis,Film familial,2004-12-22,Tous publics,UIP,,,0,4,9.0,"Jim Carrey, Meryl Streep",
showtime,261822.0,597575,,Etats-Unis,Comédie,2002-04-24,Tous publics,Warner Bros.,,,0,4,4.0,"Robert De Niro, Eddie Murphy",
adieu monsieur haffmann,261930.0,745704,,France,Drame,2022-01-12,Tous publics,Pathé,,,0,5,2.0,"Daniel Auteuil, Sara Giraudeau, Gilles Lellouche",
power rangers (2017),262004.0,551847,,Etats-Unis,Fantasy,2017-04-05,Tous publics,Metropolitan,,,0,4,5.0,,Bryan Cranston
le transporteur - héritage,262041.0,594935,,France,Aventure - Action,2015-09-09,Tous publics,EuropaCorp,,,0,5,2.0,,
point break (2016),262725.0,524087,,Etats-Unis,Aventure - Action,2016-02-03,Tous publics,SND,,,0,3,4.0,,
next,262793.0,615311,Lee Tamahori,Etats-Unis,Science Fiction,2007-04-25,Tous publics,TFM Distribution,,,0,4,3.0,"Jessica Biel, Nicolas Cage, Julianne Moore",
ca ira mieux demain,262075.0,865977,,France,Comédie,2000-11-15,Tous publics,Bac Films,,,0,5,2.0,"Nathalie Baye, Jean-Pierre Darroussin",Isabelle Carré
l'abominable vérité,263349.0,660136,,Etats-Unis,Romance,2009-08-26,Tous publics,Sony Pictures,,,0,5,6.0,"Katherine Heigl, Gerard Butler",
chappie,263937.0,602360,Neil Blomkamp,Etats-Unis,Science Fiction,2015-03-04,Tous publics,Sony Pictures,,,0,4,2.0,"Hugh Jackman, Dev Patel",Sigourney Weaver
pupille,263524.0,841209,,France,Drame,2018-12-05,Tous publics,Studiocanal,,,0,6,4.0,"Elodie Bouchez, Sandrine Kiberlain, Gilles Lellouche",Miou-Miou
l'exorciste - dévotion,264818.0,755845,,Etats-Unis,Horreur,2023-10-11,Moins de 12 ans,Universal,,,0,4,2.0,,
nouveau départ (2012),264147.0,486493,Cameron Crowe,Etats-Unis,Comédie dramatique,2012-04-18,Tous publics,20th Century Fox,,,0,3,4.0,"Matt Damon, Elle Fanning, Scarlett Johansson",
marguerite,264495.0,1065499,,France,Drame,2015-09-16,Tous publics,Memento Films,,,1,6,1.0,Catherine Frot,
la nuit nous appartient,264579.0,863159,James Gray,Etats-Unis,Thriller,2007-11-28,Tous publics,Wild Bunch,,,0,3,3.0,"Eva Mendes, Mark Wahlberg, Joaquin Phoenix",Robert Duvall
saw 6,266042.0,474052,,Etats-Unis,Horreur,2009-11-04,Moins de 16 ans,Metropolitan,,,0,3,5.0,,
braquage à l'italienne,264813.0,641383,F. Gary Gray,Etats-Unis,Aventure - Action,2003-09-17,Tous publics,UIP,,,0,4,3.0,"Mark Wahlberg, Edward Norton, Charlize Theron",Jason Statham
