Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
le plan b,196238,530067,,Etats-Unis,Romance,2010-05-19,Tous publics,Sony Pictures,,,0,5,3,Jennifer Lopez,Melissa McCarthy
5x2,196277,530971,François Ozon,France,Drame,2004-09-01,Tous publics,Mars Distribution,,,0,5,2,,
16 ans... ou presque,196500,537081,,France,Comédie,2013-12-18,Tous publics,UGC Distribution,,,0,3,6,Laurent Lafitte,Jonathan Cohen
la route,197280,503083,,Etats-Unis,Science Fiction,2009-12-02,Moins de 12 ans,Metropolitan,,,0,3,7,Viggo Mortensen,"Robert Duvall, Guy Pearce, Charlize Theron"
la route d'eldorado,197283,763087,,Etats-Unis,Animation,2000-10-25,Tous publics,UIP,,,0,5,5,,
robin des bois (2018),197360,363926,,Etats-Unis,Aventure - Action,2018-11-28,Tous publics,Metropolitan,,,0,3,7,Jamie Foxx,
sagan,197375,526872,Diane Kurys,France,Drame,2008-06-11,Tous publics,EuropaCorp,,,0,8,4,Sylvie Testud,Denis Podalydès
s.o.s. fantômes (2016),197408,409086,Paul Feig,Etats-Unis,Comédie,2016-08-10,Tous publics,Sony Pictures,,,0,3,5,"Melissa McCarthy, Kristen Wiig","Andy Garcia, Chris Hemsworth"
the french dispatch,197450,454225,Wes Anderson,Etats-Unis,Comédie dramatique,2021-10-27,Tous publics,Walt Disney Pictures,,,0,5,8,Bill Murray,"Mathieu Amalric, Adrien Brody, Timothée Chalamet, Willem Dafoe, Cécile De France, Benicio Del Toro, Frances McDormand, Edward Norton, Liev Schreiber, Léa Seydoux, Christoph Waltz, Owen Wilson"
cigognes et compagnie,197528,1009746,,Etats-Unis,Animation,2016-10-12,Tous publics,Warner Bros.,,,0,5,5,,
steak,197722,290674,Quentin Dupieux,France,Comédie,2007-06-20,Tous publics,Studiocanal,,,0,2,5,"Ramzy Bedia, Eric Judor",
driven,197779,373473,Renny Harlin,Etats-Unis,Aventure - Action,2001-07-11,Tous publics,Warner Bros.,,,0,3,5,"Sylvester Stallone, Burt Reynolds",
